Sensor|FW_version|HW_version||Sensor|FW_version|HW_version||Sensor|FW_version|HW_version||Sensor|FW_version|HW_version||Sensor|FW_version|HW_version||Sensor|FW_version|HW_version||Sensor|FW_version|HW_version||
<YEI3Space WL:12000865>|17Mar2015N37|TSS-WL                  v2.0.0  ||<YEI3Space WL:1200085D>|17Mar2015N37|TSS-WL                  v2.0.0  ||<YEI3Space WL:1200085E>|17Mar2015N37|TSS-WL                  v2.0.0  ||<YEI3Space WL:12000860>|17Mar2015N37|TSS-WL                  v2.0.0  ||<YEI3Space WL:12000857>|17Mar2015N37|TSS-WL                  v2.0.0  ||<YEI3Space WL:1200085A>|24Nov2014P52|TSS-WL                  v2.0.0  ||<YEI3Space WL:1200085B>|17Mar2015N37|TSS-WL                  v2.0.0  ||

Data|Time|Battery||Data|Time|Battery||Data|Time|Battery||Data|Time|Battery||Data|Time|Battery||Data|Time|Battery||Data|Time|Battery||
(-0.01513671875, 0.997802734375, -0.00830078125)|16.9452052684|63%||(-0.00830078125, 0.994873046875, -0.01171875)|18.1074233372|2%||(-0.0107421875, 0.99365234375, -0.001220703125)|18.1263037546|1%||(-0.016357421875, 1.00830078125, -0.01513671875)|18.7169217386|2%||(-0.00732421875, 0.97607421875, -0.02294921875)|19.3075966115|74%||(-0.03564453125, 0.999755859375, -0.01416015625)|20.4813465458|0%||(-0.025390625, 1.00341796875, -0.0185546875)|20.5003826177|0%||
(-0.01708984375, 0.994873046875, -0.00732421875)|21.6628728844|61%||(-0.00439453125, 0.997314453125, -0.01025390625)|22.7844185099|2%||(-0.011962890625, 0.98876953125, -0.00390625)|22.8034668288|1%||(-0.019775390625, 1.0126953125, -0.0126953125)|23.3940650596|2%||(-0.0107421875, 0.973388671875, -0.02685546875)|23.9846518337|75%||(-0.033447265625, 0.994873046875, -0.013671875)|25.1468742481|0%||(-0.02587890625, 1.00146484375, -0.02099609375)|25.1659174312|0%||
(-0.01513671875, 0.997314453125, -0.0126953125)|26.301318283|60%||(-0.0068359375, 0.994140625, -0.01416015625)|27.4595782237|2%||(-0.012451171875, 0.98974609375, -0.00537109375)|27.4786518266|1%||(-0.020263671875, 1.008056640625, -0.01220703125)|28.0691979092|2%||(-0.013671875, 0.97265625, -0.02734375)|28.6597862635|78%||(-0.03369140625, 0.99560546875, -0.01318359375)|29.7805077892|0%||(-0.02392578125, 1.003173828125, -0.01708984375)|29.7995802069|0%||
(-0.01806640625, 0.996337890625, -0.01220703125)|30.9621471156|58%||(-0.0048828125, 0.99609375, -0.01220703125)|32.1127013681|2%||(-0.010009765625, 0.9853515625, -0.0048828125)|32.1319073168|1%||(-0.017578125, 1.00244140625, -0.01025390625)|32.7223123622|2%||(-0.01171875, 0.9765625, -0.0234375)|33.3129133585|79%||(-0.0341796875, 0.99609375, -0.01220703125)|34.4750140938|0%||(-0.02490234375, 1.001708984375, -0.020751953125)|34.4940663633|0%||
(-0.014404296875, 0.9951171875, -0.00927734375)|35.6711877584|57%||(-0.00830078125, 0.99560546875, -0.0126953125)|36.835621336|2%||(-0.012939453125, 0.99072265625, -0.00146484375)|36.8641965798|1%||(-0.015869140625, 1.009521484375, -0.0166015625)|37.4559231083|2%||(-0.01025390625, 0.977294921875, -0.02783203125)|38.0475018835|79%||(-0.0322265625, 0.999267578125, -0.01025390625)|39.19652527|0%||(-0.0224609375, 1.00439453125, -0.022216796875)|39.2155506752|0%||
(-0.018310546875, 0.995849609375, -0.00732421875)|40.3747492837|57%||(-0.00439453125, 0.992431640625, -0.01318359375)|41.5302509001|2%||(-0.0107421875, 0.99169921875, -0.001220703125)|41.5588850081|1%||(-0.01953125, 1.00439453125, -0.00927734375)|42.1495168192|2%||(-0.010986328125, 0.972900390625, -0.0234375)|42.7406274457|79%||(-0.0322265625, 1.00048828125, -0.0087890625)|43.9027384526|0%||(-0.023681640625, 1.00244140625, -0.021240234375)|43.9217990184|0%||
(-0.0166015625, 0.993408203125, -0.00732421875)|45.0961213979|56%||(-0.011474609375, 0.99853515625, -0.0126953125)|46.2688287631|2%||(-0.011474609375, 0.9921875, -0.00146484375)|46.2974664266|1%||(-0.018310546875, 1.00390625, -0.015625)|46.8799714133|2%||(-0.0126953125, 0.97216796875, -0.024658203125)|47.4605631138|79%||(-0.033203125, 0.997802734375, -0.01171875)|48.6236842947|0%||(-0.02490234375, 0.996826171875, -0.02001953125)|48.6427381445|0%||
