

Device Info|Sensor|Firmware Version|Hardware Version
|<YEI3Space WL:12000865>;17Mar2015N37;TSS-WL                  v2.0.0  

Raw Accelerometer Data (X, Y, Z)|Time|Battery
(-0.020751953125, 0.992431640625, -0.00927734375)|3.28283490311|45 % 
(-0.01904296875, 0.9951171875, -0.0068359375)|3.31143701109|45 % 
(-0.02490234375, 0.992431640625, -0.0068359375)|3.32173944305|45 % 
(-0.01806640625, 0.996826171875, -0.00830078125)|3.3310178738|45 % 
(-0.0224609375, 0.994140625, -0.0068359375)|3.34052346531|45 % 
(-0.017578125, 0.994384765625, -0.0068359375)|3.35012505694|45 % 
(-0.020263671875, 0.9931640625, -0.005859375)|3.36006126625|45 % 
(-0.018310546875, 0.9970703125, -0.00634765625)|3.36957515406|45 % 
(-0.0185546875, 0.994384765625, -0.00537109375)|3.37928262236|45 % 
(-0.01953125, 0.9921875, -0.00830078125)|3.38863137418|45 % 
(-0.01953125, 0.999267578125, -0.0087890625)|3.3981808176|45 % 
(-0.019287109375, 0.99462890625, -0.00830078125)|3.40770892766|45 % 
(-0.021240234375, 0.98974609375, -0.0068359375)|3.4172172846|45 % 
(-0.017822265625, 0.995849609375, -0.0078125)|3.42676870333|45 % 
(-0.0185546875, 0.992919921875, -0.00732421875)|3.4364283691|45 % 
(-0.021484375, 0.9970703125, -0.00830078125)|3.45539570022|45 % 
(-0.019287109375, 0.993896484375, -0.009765625)|3.47441201906|45 % 
(-0.016845703125, 0.995361328125, -0.0068359375)|3.48394249949|45 % 
(-0.019775390625, 0.9931640625, -0.0087890625)|3.51302105247|45 % 
(-0.01611328125, 0.998046875, -0.0068359375)|3.52251400199|45 % 
(-0.01806640625, 0.994873046875, -0.00634765625)|3.53203144537|45 % 
(-0.0166015625, 0.995849609375, -0.0087890625)|3.54155560481|45 % 
(-0.02197265625, 0.991943359375, -0.0078125)|3.5517083082|45 % 
(-0.01904296875, 0.995849609375, -0.005859375)|3.59019092171|45 % 
(-0.02099609375, 0.994140625, -0.00927734375)|3.59976248861|45 % 
(-0.020751953125, 0.99365234375, -0.00634765625)|3.60934551231|45 % 
(-0.01904296875, 0.992919921875, -0.00390625)|3.61879460993|45 % 
(-0.0185546875, 1.000244140625, -0.00634765625)|3.62834010272|45 % 
(-0.01806640625, 0.992431640625, -0.0068359375)|3.63785636092|45 % 
(-0.021240234375, 0.994384765625, -0.00390625)|3.6473560265|45 % 
(-0.017822265625, 0.990478515625, -0.001708984375)|3.65688690199|45 % 
(-0.02099609375, 0.995849609375, -0.0048828125)|3.66654775295|45 % 
(-0.020263671875, 0.99462890625, -0.009765625)|3.67594351717|45 % 
(-0.01904296875, 0.9921875, -0.00537109375)|3.6854822939|45 % 
(-0.023193359375, 1.00048828125, -0.00830078125)|3.69499460148|45 % 
(-0.01708984375, 0.98779296875, -0.0078125)|3.70450690905|45 % 
(-0.017578125, 0.995361328125, -0.0068359375)|3.71411837723|45 % 
(-0.02099609375, 0.996337890625, -0.00732421875)|3.72442357463|45 % 
(-0.019775390625, 0.987548828125, -0.0068359375)|3.73364353617|45 % 
(-0.020263671875, 0.9912109375, -0.0048828125)|3.74318112772|45 % 
(-0.021240234375, 0.994384765625, -0.00439453125)|3.75269659579|45 % 
(-0.01904296875, 0.990966796875, -0.00830078125)|3.76222470585|45 % 
(-0.0205078125, 0.998046875, -0.00634765625)|3.77177849495|45 % 
(-0.019775390625, 0.9921875, -0.0087890625)|3.78130581488|45 % 
(-0.019287109375, 0.996826171875, -0.005859375)|3.79077348042|45 % 
(-0.018798828125, 0.9970703125, -0.005859375)|3.80038731898|45 % 
(-0.021240234375, 0.994140625, -0.00634765625)|3.80981152768|45 % 
(-0.01806640625, 0.993896484375, -0.00634765625)|3.81945025515|45 % 
(-0.017578125, 0.9970703125, -0.00830078125)|3.82889974783|45 % 
(-0.0185546875, 0.998291015625, -0.0078125)|3.84792554816|45 % 
(-0.019775390625, 0.995361328125, -0.0087890625)|3.85747854714|45 % 
(-0.021240234375, 0.996826171875, -0.009765625)|3.86700744732|45 % 
(-0.0185546875, 0.996337890625, -0.0087890625)|3.87650908821|45 % 
(-0.020751953125, 0.995849609375, -0.005859375)|3.88607591436|45 % 
(-0.020751953125, 0.997802734375, -0.00732421875)|3.89580195058|45 % 
(-0.016357421875, 0.996826171875, -0.0078125)|3.90510882581|45 % 
(-0.0185546875, 0.996337890625, -0.0068359375)|3.91469263964|45 % 
(-0.022216796875, 0.997314453125, -0.005615234375)|3.92425749048|45 % 
(-0.01708984375, 0.99658203125, -0.004150390625)|3.93377374867|45 % 
(-0.017333984375, 0.9970703125, -0.00634765625)|3.94330343898|45 % 
(-0.020263671875, 0.998779296875, -0.01025390625)|3.95292043803|45 % 
(-0.0185546875, 0.992431640625, -0.0068359375)|3.96281753618|45 % 
(-0.020263671875, 0.998779296875, -0.00732421875)|3.97276283192|45 % 
(-0.019775390625, 0.992919921875, -0.00927734375)|3.98228659629|45 % 
(-0.018798828125, 0.99560546875, -0.0068359375)|3.9918131261|45 % 
(-0.017578125, 0.9951171875, -0.00634765625)|4.0013199028|45 % 
(-0.0185546875, 0.996826171875, -0.0068359375)|4.01087882771|45 % 
(-0.018310546875, 0.9921875, -0.0087890625)|4.02044170324|45 % 
(-0.0224609375, 0.99560546875, -0.0078125)|4.02995796143|45 % 
(-0.021240234375, 0.995849609375, -0.00634765625)|4.03945170108|45 % 
(-0.01806640625, 0.995361328125, -0.0068359375)|4.04943492279|45 % 
(-0.021484375, 0.992431640625, -0.0048828125)|4.0590554774|45 % 
(-0.020751953125, 0.994384765625, -0.00634765625)|4.06873252591|45 % 
(-0.021728515625, 0.994140625, -0.00341796875)|4.0780480925|45 % 
(-0.018310546875, 0.997314453125, -0.00927734375)|4.08801709197|45 % 
(-0.020263671875, 0.996826171875, -0.00537109375)|4.09756574526|45 % 
(-0.01953125, 0.991455078125, -0.0068359375)|4.10712269486|45 % 
(-0.022216796875, 0.9921875, -0.005859375)|4.1167764347|45 % 
(-0.01953125, 0.99267578125, -0.0068359375)|4.12650444623|45 % 
(-0.019775390625, 0.9931640625, -0.00634765625)|4.13587650672|45 % 
(-0.018798828125, 0.99609375, -0.01025390625)|4.16481678793|45 % 
(-0.018310546875, 0.99267578125, -0.0048828125)|4.17441679931|45 % 
(-0.01806640625, 0.99462890625, -0.005859375)|4.18393700812|45 % 
(-0.0185546875, 0.99169921875, -0.0078125)|4.19341099466|45 % 
(-0.021728515625, 0.99560546875, -0.0078125)|4.20294226522|45 % 
(-0.017578125, 0.990478515625, -0.005859375)|4.2124826222|45 % 
(-0.01953125, 0.99853515625, -0.005859375)|4.22198189272|45 % 
(-0.019287109375, 0.994873046875, -0.0087890625)|4.231543188|45 % 
(-0.019775390625, 0.992431640625, -0.00830078125)|4.24105944619|45 % 
(-0.018798828125, 0.9951171875, -0.00830078125)|4.27057493797|45 % 
(-0.018310546875, 0.994384765625, -0.00537109375)|4.280045764|45 % 
(-0.0185546875, 0.9970703125, -0.005859375)|4.28959718273|45 % 
(-0.02197265625, 0.994140625, -0.005859375)|4.29989447889|45 % 
(-0.02001953125, 0.99169921875, -0.00732421875)|4.30968174975|45 % 
(-0.01611328125, 0.995361328125, -0.00732421875)|4.31961756399|45 % 
(-0.018798828125, 0.9921875, -0.00732421875)|4.32915910616|45 % 
(-0.01904296875, 0.998291015625, -0.00830078125)|4.33874371012|45 % 
