

301992023    17Mar2015N37   TSS-WL                  v2.0.0  

(-0.0302734375, -0.984375, 0.0)    3806
(-0.029052734375, -0.978759765625, 0.003662109375)    3806
(-0.02734375, -0.983154296875, 0.0048828125)    3806
(-0.034912109375, -0.984619140625, 0.00048828125)    3806
(-0.030029296875, -0.9833984375, 0.002685546875)    3806
(-0.02978515625, -0.982177734375, 0.001708984375)    3806
(-0.03125, -0.98193359375, -0.000244140625)    3806
(-0.031005859375, -0.983642578125, 0.004638671875)    3806
(-0.03271484375, -0.9853515625, 0.004150390625)    3806
(-0.02685546875, -0.987548828125, 0.0)    3806
(-0.0302734375, -0.979248046875, -0.002685546875)    3806
(-0.031005859375, -0.98095703125, -0.004638671875)    3806
(-0.043701171875, -0.979248046875, -0.02099609375)    3806
(-0.044189453125, -0.984375, -0.00390625)    3806
(-0.039306640625, -0.98095703125, 0.00341796875)    3806
(-0.014404296875, -0.982666015625, 0.00439453125)    3806
(-0.03076171875, -0.97607421875, 0.0126953125)    3806
(-0.022705078125, -0.97998046875, 0.02197265625)    3806
(-0.0234375, -0.978271484375, 0.01708984375)    3806
(-0.012451171875, -0.97705078125, 0.02197265625)    3806
(-0.010009765625, -0.97998046875, 0.021728515625)    3806
(-0.019287109375, -0.99267578125, 0.0341796875)    3806
(-0.005859375, -0.9853515625, 0.049072265625)    3806
(-0.004150390625, -0.986572265625, 0.044921875)    3806
(-0.0068359375, -0.98779296875, 0.04052734375)    3806
(-0.004150390625, -0.982666015625, 0.03955078125)    3806
(-0.010498046875, -0.987548828125, 0.037109375)    3806
(-0.004638671875, -0.98193359375, 0.0390625)    3806
(-0.005859375, -0.985107421875, 0.029296875)    3806
(-0.00830078125, -0.980224609375, 0.028076171875)    3806
(-0.032958984375, -0.9892578125, 0.002685546875)    3806
(-0.03076171875, -0.977294921875, 0.00537109375)    3806
(-0.00341796875, -0.984130859375, 0.0302734375)    3806
(-0.00830078125, -0.986083984375, 0.025146484375)    3806
(-0.014404296875, -0.98486328125, 0.025146484375)    3806
(-0.019775390625, -0.982666015625, 0.01953125)    3806
(-0.01806640625, -0.97705078125, 0.0185546875)    3806
(-0.014892578125, -0.9873046875, 0.023681640625)    3806
(-0.01171875, -0.981689453125, 0.025146484375)    3806
(-0.009765625, -0.98291015625, 0.0302734375)    3806
(-0.013671875, -0.98193359375, 0.024658203125)    3806
(-0.01513671875, -0.980712890625, 0.03173828125)    3806
(-0.0185546875, -0.975341796875, 0.02001953125)    3806
(0.0009765625, -0.986328125, 0.045166015625)    3806
(-0.012939453125, -0.982177734375, 0.03125)    3806
(-0.0068359375, -0.97607421875, 0.03759765625)    3806
(0.0029296875, -0.979736328125, 0.040771484375)    3806
(-0.00244140625, -0.98095703125, 0.033203125)    3806
(-0.001953125, -0.98291015625, 0.0361328125)    3806
(-0.001708984375, -0.981201171875, 0.03759765625)    3806
(-0.0068359375, -0.980224609375, 0.03564453125)    3806
(-0.00146484375, -0.979248046875, 0.03662109375)    3806
(-0.00341796875, -0.977783203125, 0.03662109375)    3806
(0.0, -0.977294921875, 0.03466796875)    3806
(-0.00048828125, -0.9794921875, 0.0400390625)    3806
(-0.006103515625, -0.9833984375, 0.03955078125)    3806
(-0.0009765625, -0.979248046875, 0.041015625)    3806
(-0.0009765625, -0.9833984375, 0.0400390625)    3806
(-0.00537109375, -0.975830078125, 0.03662109375)    3806
(-0.00048828125, -0.983154296875, 0.0400390625)    3806
(-0.00732421875, -0.986328125, 0.03125)    3806
(-0.00048828125, -0.97900390625, 0.0439453125)    3806
(-0.001708984375, -0.978271484375, 0.04150390625)    3806
(0.001220703125, -0.983642578125, 0.042724609375)    3806
(-0.00341796875, -0.974365234375, 0.041015625)    3806
(0.001953125, -0.983154296875, 0.037841796875)    3806
(-0.005859375, -0.97607421875, 0.04248046875)    3806
(-0.00244140625, -0.982177734375, 0.040283203125)    3806
(-0.000732421875, -0.983642578125, 0.043701171875)    3806
(0.00048828125, -0.9794921875, 0.043701171875)    3806
(-0.00439453125, -0.9833984375, 0.04052734375)    3806
(-0.00146484375, -0.978271484375, 0.042724609375)    3806
(-0.003662109375, -0.984375, 0.03564453125)    3806
(-0.001953125, -0.98193359375, 0.04296875)    3806
(-0.002197265625, -0.9775390625, 0.04296875)    3806
(-0.003662109375, -0.980224609375, 0.041748046875)    3806
(-0.002197265625, -0.982666015625, 0.045166015625)    3806
(-0.001220703125, -0.977783203125, 0.0390625)    3806
(-0.001708984375, -0.9814453125, 0.0390625)    3806
(-0.002685546875, -0.98388671875, 0.037109375)    3806
(-0.00048828125, -0.9833984375, 0.042724609375)    3806
(-0.004150390625, -0.986328125, 0.04052734375)    3806
(-0.00146484375, -0.978271484375, 0.0419921875)    3806
(-0.002197265625, -0.977783203125, 0.0419921875)    3806
(-0.003173828125, -0.98095703125, 0.04443359375)    3806
(-0.00390625, -0.984619140625, 0.044921875)    3806
(-0.00439453125, -0.981689453125, 0.04248046875)    3806
(-0.000244140625, -0.977783203125, 0.0419921875)    3806
(-0.0048828125, -0.978759765625, 0.041015625)    3806
(-0.0009765625, -0.98388671875, 0.04150390625)    3806
(-0.001953125, -0.978759765625, 0.04150390625)    3806
(-0.001220703125, -0.982177734375, 0.04150390625)    3806
(-0.00390625, -0.9814453125, 0.0400390625)    3806
(-0.00146484375, -0.9775390625, 0.03857421875)    3806
(-0.00146484375, -0.98095703125, 0.0439453125)    3806
(-0.002197265625, -0.98095703125, 0.04248046875)    3806
(-0.001953125, -0.97802734375, 0.04296875)    3806
(-0.002685546875, -0.978271484375, 0.04150390625)    3806
(-0.005615234375, -0.982666015625, 0.04443359375)    3806
(-0.00146484375, -0.98583984375, 0.0419921875)    3806
(-0.00390625, -0.985107421875, 0.03955078125)    3806
(-0.0078125, -0.97998046875, 0.0419921875)    3806
(-0.003662109375, -0.979248046875, 0.04443359375)    3806
(-0.001708984375, -0.98388671875, 0.041015625)    3806
(-0.00390625, -0.980712890625, 0.041259765625)    3806
(-0.004150390625, -0.977783203125, 0.04248046875)    3806
(0.00048828125, -0.9814453125, 0.045654296875)    3806
(-0.00390625, -0.978759765625, 0.043701171875)    3806
(0.0, -0.9921875, 0.0458984375)    3806
(-0.00341796875, -0.9814453125, 0.0439453125)    3806
(-0.002685546875, -0.98193359375, 0.043212890625)    3806
(-0.001220703125, -0.983642578125, 0.043701171875)    3806
(-0.00341796875, -0.983642578125, 0.043701171875)    3806
(-0.00390625, -0.980712890625, 0.043212890625)    3806
(-0.002685546875, -0.981689453125, 0.045166015625)    3806
(-0.00390625, -0.9794921875, 0.0439453125)    3806
(-0.00537109375, -0.982666015625, 0.047119140625)    3806
(-0.001708984375, -0.98388671875, 0.04150390625)    3806
(-0.003173828125, -0.97998046875, 0.042724609375)    3806
(-0.001708984375, -0.9873046875, 0.045654296875)    3806
(-0.003662109375, -0.979736328125, 0.04345703125)    3806
(-0.00634765625, -0.977783203125, 0.04248046875)    3806
(-0.0009765625, -0.982177734375, 0.046142578125)    3806
(-0.005859375, -0.982177734375, 0.0390625)    3806
(-0.004638671875, -0.983642578125, 0.0439453125)    3806
(-0.0029296875, -0.97900390625, 0.044189453125)    3806
(-0.00244140625, -0.979736328125, 0.044677734375)    3806
(-0.0029296875, -0.97607421875, 0.045166015625)    3806
(-0.002685546875, -0.97998046875, 0.045654296875)    3806
(-0.00439453125, -0.983154296875, 0.041015625)    3806
(-0.003662109375, -0.982177734375, 0.042236328125)    3806
(-0.002197265625, -0.9814453125, 0.04248046875)    3806
(-0.005859375, -0.98193359375, 0.04248046875)    3806
(-0.003173828125, -0.979248046875, 0.044677734375)    3806
(-0.00537109375, -0.981689453125, 0.0419921875)    3806
(-0.0029296875, -0.983642578125, 0.03955078125)    3806
(-0.002197265625, -0.980224609375, 0.04296875)    3806
(-0.003662109375, -0.98291015625, 0.04443359375)    3806
(-0.005859375, -0.980224609375, 0.044921875)    3806
(-0.002685546875, -0.98046875, 0.044921875)    3806
(-0.0068359375, -0.97802734375, 0.044677734375)    3806
(0.0, -0.983642578125, 0.042724609375)    3806
(-0.001953125, -0.9833984375, 0.04150390625)    3806
(-0.00341796875, -0.984619140625, 0.0419921875)    3806
(-0.00244140625, -0.977294921875, 0.04052734375)    3806
(-0.0068359375, -0.980712890625, 0.043701171875)    3806
(-0.00341796875, -0.979248046875, 0.04541015625)    3806
(-0.000244140625, -0.982666015625, 0.045166015625)    3806
(-0.0029296875, -0.984130859375, 0.0400390625)    3806
(-0.005126953125, -0.97705078125, 0.0419921875)    3806
(-0.002197265625, -0.982666015625, 0.0419921875)    3806
(-0.00439453125, -0.9814453125, 0.04052734375)    3806
(-0.002197265625, -0.97900390625, 0.045166015625)    3806
(-0.004638671875, -0.978515625, 0.04052734375)    3806
(-0.00537109375, -0.98193359375, 0.04150390625)    3806
(-0.00439453125, -0.980712890625, 0.045166015625)    3806
(-0.003173828125, -0.981201171875, 0.0439453125)    3806
(-0.005859375, -0.97998046875, 0.0419921875)    3806
(-0.003173828125, -0.98388671875, 0.043212890625)    3806
(-0.00244140625, -0.978759765625, 0.044189453125)    3806
(-0.000244140625, -0.982177734375, 0.041015625)    3806
(-0.0029296875, -0.979736328125, 0.0439453125)    3806
(-0.0029296875, -0.979736328125, 0.0419921875)    3806
(-0.00537109375, -0.98095703125, 0.04541015625)    3806
(-0.0068359375, -0.975830078125, 0.0439453125)    3806
(-0.00537109375, -0.977783203125, 0.04541015625)    3806
(-0.001220703125, -0.977783203125, 0.04248046875)    3806
(-0.001220703125, -0.9794921875, 0.046142578125)    3806
(-0.001708984375, -0.9814453125, 0.044189453125)    3806
(-0.00048828125, -0.98291015625, 0.04345703125)    3806
(-0.00537109375, -0.980712890625, 0.04443359375)    3806
(-0.005859375, -0.97900390625, 0.04248046875)    3806
(-0.0029296875, -0.981689453125, 0.0400390625)    3806
(-0.0029296875, -0.982421875, 0.046630859375)    3806
(-0.002197265625, -0.9833984375, 0.045166015625)    3806
