

Device Info|Serial Number|Firmware Version|Hardware Version
|301992023;17Mar2015N37;TSS-WL                  v2.0.0  

Raw Accelerometer Data|Time|Battery
(0.093994140625, 0.680908203125, -0.0126953125)|3.78478196715|61 % 
(-0.610107421875, 0.710205078125, 1.783203125)|3.80431502734|61 % 
(-0.33447265625, 1.080078125, 1.239013671875)|3.81383721146|61 % 
(-0.1513671875, 1.0048828125, 0.6337890625)|3.82338546969|61 % 
(-0.232177734375, 0.834716796875, 0.404296875)|3.83341372849|61 % 
(-0.205322265625, 1.008544921875, 0.690185546875)|3.84293235706|61 % 
(-0.119140625, 1.09619140625, 0.513427734375)|3.85258254133|61 % 
(-0.009765625, 1.2060546875, 0.006103515625)|3.86197751543|61 % 
(0.546630859375, 0.971435546875, -0.1533203125)|3.8810289948|61 % 
(-0.0341796875, 0.835205078125, 0.0703125)|3.89085379657|61 % 
(-0.12353515625, 1.230224609375, 0.455078125)|3.90083346272|61 % 
(0.096435546875, 1.3916015625, -0.373046875)|3.91054883226|61 % 
(0.021240234375, 0.845947265625, -0.368896484375)|3.92041827605|61 % 
(-0.129150390625, 0.981689453125, 0.426513671875)|3.92993927499|61 % 
(0.007568359375, 0.95751953125, 0.03662109375)|3.93958669383|61 % 
(0.043212890625, 0.89306640625, 0.147705078125)|3.94907016186|61 % 
(0.1103515625, 0.93896484375, -0.320068359375)|3.95861565466|61 % 
(-0.0166015625, 1.18310546875, -0.138671875)|3.96863206159|61 % 
(0.025390625, 0.929443359375, 0.115966796875)|3.97814910991|61 % 
(-0.02685546875, 1.272705078125, -0.273681640625)|3.9881868502|61 % 
(0.0791015625, 1.263916015625, -0.23876953125)|3.99767110835|61 % 
(0.04736328125, 0.8974609375, -0.231201171875)|4.00723319376|61 % 
(0.00146484375, 1.061767578125, -0.314453125)|4.01677473593|61 % 
(0.10009765625, 1.182861328125, -0.31396484375)|4.026283883|61 % 
(0.0869140625, 0.89599609375, -0.095947265625)|4.0358293758|61 % 
(0.049560546875, 0.903076171875, -0.150634765625)|4.04532232532|61 % 
(-0.86083984375, 1.1044921875, -2.0)|4.05485794156|61 % 
(-0.21337890625, 0.83349609375, -1.397216796875)|4.06439197755|61 % 
