<YEI3Space WL:12000857>


           R,                   i,                  j,                    k,        %,  Button

(-0.02009483426809311, 0.22914211452007294, 0.8087192177772522, 0.5413530468940735, 39, 0)
(-0.027745356783270836, 0.2164958417415619, 0.821649968624115, 0.52654629945755, 39, 0)
(-0.04527377709746361, 0.2049129456281662, 0.835677981376648, 0.5075463056564331, 39, 0)
(-0.07051919400691986, 0.189958393573761, 0.8525739312171936, 0.4817262887954712, 39, 0)
(-0.08335511386394501, 0.17926464974880219, 0.8608200550079346, 0.4689400792121887, 39, 0)
(-0.09953153878450394, 0.1626099944114685, 0.8694695234298706, 0.45571231842041016, 39, 0)
(-0.1153622567653656, 0.143872931599617, 0.8698239922523499, 0.4576002359390259, 39, 0)
(-0.11891373246908188, 0.13730266690254211, 0.8638110756874084, 0.46993371844291687, 39, 0)
(-0.12196925282478333, 0.1249701976776123, 0.838556706905365, 0.5160698890686035, 39, 0)
(-0.12382102757692337, 0.10973931849002838, 0.8026189804077148, 0.5730865597724915, 39, 0)
(-0.12426304072141647, 0.09587153792381287, 0.7729833722114563, 0.6147062182426453, 39, 0)
(-0.12312741577625275, 0.07657549530267715, 0.7343791127204895, 0.6630707383155823, 39, 0)
(-0.12204311788082123, 0.06642913818359375, 0.7142401337623596, 0.6859688758850098, 39, 0)
(-0.12039844691753387, 0.0567951425909996, 0.6940947771072388, 0.7074677348136902, 39, 0)
(-0.11545097827911377, 0.03895328938961029, 0.6550924777984619, 0.7456589341163635, 39, 0)
(-0.11002090573310852, 0.026207532733678818, 0.6229999661445618, 0.7740021347999573, 39, 0)
(-0.10230861604213715, 0.00874303374439478, 0.5829599499702454, 0.805986225605011, 39, 0)
(-0.08877620846033096, -0.010818165726959705, 0.5438151955604553, 0.8344258666038513, 39, 0)
(-0.08484157919883728, -0.01582900434732437, 0.5338535308837891, 0.841160774230957, 39, 0)
(-0.06578145921230316, -0.038719307631254196, 0.4936167597770691, 0.8663231134414673, 39, 0)
(-0.05665062367916107, -0.050759341567754745, 0.47361230850219727, 0.8774423599243164, 39, 0)
(-0.0346861369907856, -0.07320307940244675, 0.42695459723472595, 0.9006374478340149, 39, 0)
(-0.01586245745420456, -0.08496455103158951, 0.390738844871521, 0.9164344072341919, 39, 0)
(-0.002843135967850685, -0.09269816428422928, 0.36491644382476807, 0.9264096617698669, 39, 0)
(0.02461867593228817, -0.10476264357566833, 0.3096826374530792, 0.9447302222251892, 39, 0)
(0.04019935429096222, -0.10998258739709854, 0.2789842188358307, 0.9531292915344238, 39, 0)
(0.07073193788528442, -0.11866869032382965, 0.21939723193645477, 0.965804934501648, 39, 0)
(0.10406988114118576, -0.1253066509962082, 0.1569647192955017, 0.9740787744522095, 39, 0)
(0.11237849295139313, -0.12648087739944458, 0.14158903062343597, 0.9753593802452087, 39, 0)
(0.14530910551548004, -0.1305256187915802, 0.08438292145729065, 0.9771015644073486, 39, 0)
(0.16804729402065277, -0.12781593203544617, 0.03890280798077583, 0.9766829609870911, 39, 0)
(0.1915067434310913, -0.12346063554286957, -0.0009108036756515503, 0.9736948013305664, 39, 0)
(0.20724675059318542, -0.12362752109766006, -0.03517600893974304, 0.9698078036308289, 39, 0)
(0.21334126591682434, -0.1219414472579956, -0.06169716641306877, 0.9673722982406616, 39, 0)
(0.2175906002521515, -0.12090841680765152, -0.07937264442443848, 0.9652642607688904, 39, 0)
(0.22534064948558807, -0.123332180082798, -0.11418665200471878, 0.9596728086471558, 39, 0)
(0.23656916618347168, -0.1326436847448349, -0.14966537058353424, 0.9508105516433716, 39, 0)
(0.2549789845943451, -0.14085255563259125, -0.18713723123073578, 0.9381500482559204, 39, 0)
(0.2768073081970215, -0.13955673575401306, -0.22816529870033264, 0.9229528307914734, 39, 0)
(0.28743651509284973, -0.13586071133613586, -0.2502288818359375, 0.9144983887672424, 39, 0)
(0.31275656819343567, -0.11972464621067047, -0.3101409375667572, 0.8897536396980286, 39, 0)
(0.3161921203136444, -0.1161915734410286, -0.322928786277771, 0.8844426870346069, 39, 0)
(0.32198283076286316, -0.12004672735929489, -0.33044832944869995, 0.8790447115898132, 39, 0)
(0.3247370719909668, -0.11470946669578552, -0.34489625692367554, 0.8731746673583984, 39, 0)
(0.3254086375236511, -0.11270768940448761, -0.3504076898097992, 0.8709882497787476, 39, 0)
(0.3246491849422455, -0.11265487968921661, -0.35192108154296875, 0.8706682920455933, 39, 0)
(0.3226374387741089, -0.11410477757453918, -0.3515811860561371, 0.8713642358779907, 39, 0)
(0.3212137818336487, -0.11498580873012543, -0.3509191870689392, 0.8720409870147705, 39, 0)
(0.3169151842594147, -0.11618558317422867, -0.34838128089904785, 0.8744688630104065, 39, 0)
(0.3147977888584137, -0.11955428868532181, -0.3442484736442566, 0.8764141201972961, 39, 0)
(0.31125935912132263, -0.11685009300708771, -0.3490864336490631, 0.8761290311813354, 39, 0)
(0.30663493275642395, -0.11277023702859879, -0.3583622872829437, 0.8745478391647339, 39, 0)
(0.2906441390514374, -0.10567085444927216, -0.3752899467945099, 0.8737945556640625, 39, 0)
(0.2717006206512451, -0.130915105342865, -0.374015212059021, 0.8770132660865784, 39, 0)
