<YEI3Space WL:12000861>


           R,                   i,                  j,                    k,        %,  Button

(0.13790616393089294, -0.8454497456550598, -0.13243462145328522, 0.49865594506263733, 72, 0)
(0.1379181444644928, -0.8454478979110718, -0.13236476480960846, 0.49867454171180725, 72, 0)
(0.13792458176612854, -0.8454694747924805, -0.13236413896083832, 0.4986364245414734, 72, 0)
(0.13788744807243347, -0.8454983830451965, -0.13235019147396088, 0.4986010193824768, 72, 0)
(0.13797849416732788, -0.8454740047454834, -0.13238757848739624, 0.4986073672771454, 72, 0)
(0.13793975114822388, -0.845464825630188, -0.13238435983657837, 0.49863454699516296, 72, 0)
(0.138014554977417, -0.8454594016075134, -0.13246765732765198, 0.49860092997550964, 72, 0)
(0.1380312442779541, -0.845452070236206, -0.13247330486774445, 0.4986070990562439, 72, 0)
(0.1380126178264618, -0.8455007672309875, -0.13244763016700745, 0.49853673577308655, 72, 0)
(0.13804328441619873, -0.8455049991607666, -0.1324385404586792, 0.49852338433265686, 72, 0)
(0.13804827630519867, -0.8454771637916565, -0.13246843218803406, 0.49856120347976685, 72, 0)
(0.13797806203365326, -0.8454432487487793, -0.13246965408325195, 0.49863794445991516, 72, 0)
(0.13801309466362, -0.8454639911651611, -0.13247665762901306, 0.49859124422073364, 72, 0)
(0.138043612241745, -0.8454378843307495, -0.13243098556995392, 0.4986392855644226, 72, 0)
(0.13812901079654694, -0.8454822897911072, -0.13236676156520844, 0.49855726957321167, 72, 0)
(0.1381167322397232, -0.8455063104629517, -0.13229480385780334, 0.49853914976119995, 72, 0)
(0.1381242424249649, -0.8454897403717041, -0.13220617175102234, 0.49858859181404114, 72, 0)
(0.13818006217479706, -0.8454914689064026, -0.13225148618221283, 0.49855804443359375, 72, 0)
(0.1382676064968109, -0.8454955816268921, -0.13223989307880402, 0.49853000044822693, 72, 0)
(0.13813664019107819, -0.8455279469490051, -0.13226832449436188, 0.4985036849975586, 72, 0)
(0.13818053901195526, -0.8455398082733154, -0.13227364420890808, 0.4984700381755829, 72, 0)
(0.13805902004241943, -0.8455724716186523, -0.1323174238204956, 0.4984365999698639, 72, 0)
(0.1380353420972824, -0.8456072807312012, -0.13233868777751923, 0.4983784854412079, 72, 0)
(0.13808563351631165, -0.845624566078186, -0.13234807550907135, 0.4983326494693756, 72, 0)
(0.13814722001552582, -0.8456694483757019, -0.13232268393039703, 0.4982461929321289, 72, 0)
(0.13820256292819977, -0.8456929326057434, -0.13237760961055756, 0.4981766641139984, 72, 0)
(0.13812480866909027, -0.8456653356552124, -0.13235025107860565, 0.4982522130012512, 72, 0)
(0.13805463910102844, -0.8456177711486816, -0.13239380717277527, 0.4983406662940979, 72, 0)
(0.13802865147590637, -0.845604419708252, -0.1323760747909546, 0.49837538599967957, 72, 0)
(0.1379929482936859, -0.8455804586410522, -0.1324939876794815, 0.49839451909065247, 72, 0)
