<YEI3Space WL:12000861>


           R,                   i,                  j,                    k,        %,  Button

(0.005298989824950695, -0.7894834876060486, -0.44138556718826294, 0.4264584183692932, 55, 0)
(0.010626736097037792, -0.7882254123687744, -0.44602638483047485, 0.423849493265152, 55, 0)
(0.013041596859693527, -0.7879471778869629, -0.44769972562789917, 0.4225333034992218, 55, 0)
(0.014523799531161785, -0.7880277037620544, -0.4486931562423706, 0.42127910256385803, 55, 0)
(0.014748811721801758, -0.7882792353630066, -0.4501718580722809, 0.4192180633544922, 55, 0)
(0.013991305604577065, -0.7884157299995422, -0.45169565081596375, 0.4173440933227539, 55, 0)
(0.012782447971403599, -0.7885940074920654, -0.45383790135383606, 0.41471385955810547, 55, 0)
(0.010461706668138504, -0.7887732982635498, -0.4582098424434662, 0.4095989167690277, 55, 0)
(0.007041897624731064, -0.7886642813682556, -0.4639819264411926, 0.4033363461494446, 55, 0)
(0.0016694043297320604, -0.787835419178009, -0.47145190834999084, 0.39629000425338745, 55, 0)
(-0.004505982156842947, -0.7869815826416016, -0.47835636138916016, 0.3896344304084778, 55, 0)
(-0.008526744320988655, -0.7866223454475403, -0.48222437500953674, 0.3855031132698059, 55, 0)
(-0.013794180937111378, -0.7863687872886658, -0.48688530921936035, 0.37996944785118103, 55, 0)
(-0.0160012636333704, -0.7861541509628296, -0.48946112394332886, 0.37700632214546204, 55, 0)
(-0.01698678731918335, -0.7857030034065247, -0.4914513826370239, 0.3753105700016022, 55, 0)
(-0.016159597784280777, -0.7846691608428955, -0.49334168434143066, 0.37502986192703247, 55, 0)
(-0.014491807669401169, -0.7837815880775452, -0.49452343583106995, 0.3753972053527832, 55, 0)
(-0.011006592772901058, -0.7823165059089661, -0.4966738820075989, 0.3757326602935791, 55, 0)
(-0.009799490682780743, -0.7818090319633484, -0.49755528569221497, 0.3756561875343323, 55, 0)
(-0.0063906568102538586, -0.7812970876693726, -0.4998916983604431, 0.37368783354759216, 55, 0)
(-0.004826562013477087, -0.7845591306686401, -0.49760425090789795, 0.3699106276035309, 55, 0)
(0.0035463478416204453, -0.7828002572059631, -0.5058528780937195, 0.3623868525028229, 55, 0)
(0.0045420341193675995, -0.7815364599227905, -0.5106799602508545, 0.3583102524280548, 55, 0)
(-0.006650432012975216, -0.7665759921073914, -0.575405478477478, 0.28500184416770935, 55, 0)
