<YEI3Space WL:12000861>


           R,                   i,                  j,                    k,        %,  Button

(0.07574070245027542, -0.7553322911262512, -0.11884413659572601, 0.6400100588798523, 55, 0)
(0.075731560587883, -0.7553442716598511, -0.11884049326181412, 0.6399974226951599, 55, 0)
(0.07567072659730911, -0.7553879022598267, -0.1189948320388794, 0.6399245858192444, 55, 0)
(0.07570958882570267, -0.755376935005188, -0.11892826855182648, 0.639945387840271, 55, 0)
(0.07572871446609497, -0.7554166316986084, -0.11896887421607971, 0.6398885846138, 55, 0)
(0.07575691491365433, -0.7554295063018799, -0.11895180493593216, 0.639873206615448, 55, 0)
(0.07572498172521591, -0.7553737163543701, -0.11890017241239548, 0.6399523615837097, 55, 0)
(0.07565314322710037, -0.7553592920303345, -0.11897297948598862, 0.6399644613265991, 55, 0)
(0.0755622461438179, -0.7553293108940125, -0.11897627264261246, 0.640009880065918, 55, 0)
(0.07565271109342575, -0.7553737163543701, -0.11893954873085022, 0.6399537324905396, 55, 0)
(0.0756988599896431, -0.7554396986961365, -0.1189846396446228, 0.6398620009422302, 55, 0)
(0.07572546601295471, -0.7554666996002197, -0.11896295100450516, 0.6398310661315918, 55, 0)
(0.07568762451410294, -0.7554605603218079, -0.11903919279575348, 0.6398285627365112, 55, 0)
(0.07571658492088318, -0.7554479837417603, -0.11904237419366837, 0.6398394703865051, 55, 0)
(0.07574257999658585, -0.7554601430892944, -0.11897715926170349, 0.6398340463638306, 55, 0)
(0.07577893137931824, -0.7554610371589661, -0.11888829618692398, 0.6398451328277588, 55, 0)
(0.07584213465452194, -0.7554420828819275, -0.11887320131063461, 0.6398628950119019, 55, 0)
(0.07585251331329346, -0.7554833889007568, -0.118915855884552, 0.639805018901825, 55, 0)
(0.07595194876194, -0.7555413842201233, -0.11890554428100586, 0.6397266387939453, 55, 0)
(0.07601381838321686, -0.7554953098297119, -0.11881989985704422, 0.6397896409034729, 55, 0)
(0.07631433010101318, -0.755513608455658, -0.11900104582309723, 0.6396985054016113, 55, 0)
(0.07627300173044205, -0.7555744647979736, -0.11922181397676468, 0.6395904421806335, 55, 0)
(0.076224185526371, -0.7556850910186768, -0.11869087815284729, 0.6395644545555115, 55, 0)
(0.07630664855241776, -0.7557057738304138, -0.11848017573356628, 0.639569103717804, 55, 0)
(0.07643730193376541, -0.7557421326637268, -0.11823778599500656, 0.6395555734634399, 55, 0)
(0.07644866406917572, -0.7557356953620911, -0.11834010481834412, 0.6395426392555237, 55, 0)
(0.07640455663204193, -0.7556585073471069, -0.11840752512216568, 0.6396267414093018, 55, 0)
(0.07629165053367615, -0.755629301071167, -0.11836980283260345, 0.6396816968917847, 55, 0)
(0.0761888399720192, -0.7557160258293152, -0.11850042641162872, 0.6395673751831055, 55, 0)
(0.07614895701408386, -0.755659818649292, -0.1186429113149643, 0.6396120190620422, 55, 0)
(0.07609634101390839, -0.7556133270263672, -0.11868515610694885, 0.6396655440330505, 55, 0)
(0.07605413347482681, -0.7555934190750122, -0.11861030012369156, 0.6397079229354858, 55, 0)
(0.0759190171957016, -0.7555263638496399, -0.11875403672456741, 0.639776349067688, 55, 0)
(0.07596080005168915, -0.7555619478225708, -0.11882568895816803, 0.6397161483764648, 55, 0)
(0.07595115154981613, -0.7555268406867981, -0.11877163499593735, 0.6397688984870911, 55, 0)
(0.07597082108259201, -0.7555692195892334, -0.11884377896785736, 0.6397029757499695, 55, 0)
(0.07590949535369873, -0.7555602788925171, -0.11891699582338333, 0.6397072672843933, 55, 0)
(0.07578957825899124, -0.7555838823318481, -0.11902263015508652, 0.6396738886833191, 55, 0)
(0.0758005753159523, -0.7555034756660461, -0.11898747831583023, 0.6397742033004761, 55, 0)
(0.07575508207082748, -0.7555099725723267, -0.11909549683332443, 0.6397517919540405, 55, 0)
(0.07583513855934143, -0.7555201053619385, -0.11919966340065002, 0.6397108435630798, 55, 0)
(0.07585570961236954, -0.7554708123207092, -0.1190793365240097, 0.6397890448570251, 55, 0)
(0.07591605186462402, -0.7554758787155151, -0.11899618804454803, 0.6397914290428162, 55, 0)
(0.07604746520519257, -0.7555166482925415, -0.11884915083646774, 0.6397548913955688, 55, 0)
(0.07593536376953125, -0.755506694316864, -0.11891185492277145, 0.6397684216499329, 55, 0)
