<YEI3Space WL:12000861>


           R,                   i,                  j,                    k,        %,  Button

(0.409033864736557, -0.13600073754787445, -0.8979973793029785, 0.08829495310783386, 63, 0)
(0.39427629113197327, -0.1544480174779892, -0.9021530151367188, 0.08253735303878784, 63, 0)
(0.38218462467193604, -0.17498113214969635, -0.9040870666503906, 0.07709352672100067, 63, 0)
(0.3684789538383484, -0.20793458819389343, -0.9032816886901855, 0.07119640707969666, 63, 0)
(0.35415416955947876, -0.250607430934906, -0.8977129459381104, 0.07669732719659805, 63, 0)
(0.33664852380752563, -0.2959647476673126, -0.889999508857727, 0.08350759744644165, 63, 0)
(0.30636292695999146, -0.3539813160896301, -0.8786381483078003, 0.09399084001779556, 63, 0)
(0.26627588272094727, -0.41203200817108154, -0.8645479083061218, 0.10901292413473129, 63, 0)
(0.23168227076530457, -0.4555853009223938, -0.8506289124488831, 0.12327203899621964, 63, 0)
(0.18206992745399475, -0.505439043045044, -0.8316835165023804, 0.14030206203460693, 63, 0)
(0.12884284555912018, -0.5512364506721497, -0.8094931840896606, 0.1557518094778061, 63, 0)
(0.11519262194633484, -0.5617237091064453, -0.8035152554512024, 0.1598767638206482, 63, 0)
(0.051438648253679276, -0.6043725609779358, -0.7743889689445496, 0.18002711236476898, 63, 0)
(0.015117245726287365, -0.6221082210540771, -0.7583576440811157, 0.19402721524238586, 63, 0)
(-0.061971548944711685, -0.6482374668121338, -0.7242668271064758, 0.2266838401556015, 63, 0)
(-0.15118956565856934, -0.6609461903572083, -0.6833553314208984, 0.2707720100879669, 63, 0)
(-0.19971691071987152, -0.663985550403595, -0.657086968421936, 0.2957588732242584, 63, 0)
(-0.2905043065547943, -0.6620112657546997, -0.6024773716926575, 0.3381856083869934, 63, 0)
(-0.3312397301197052, -0.6604897379875183, -0.5738564133644104, 0.3531605899333954, 63, 0)
(-0.406208336353302, -0.6478093266487122, -0.5227895975112915, 0.37686729431152344, 63, 0)
(-0.4482508599758148, -0.6388952732086182, -0.4922269284725189, 0.3854825496673584, 63, 0)
(-0.48983460664749146, -0.6281548142433167, -0.4630609154701233, 0.3886621296405792, 63, 0)
(-0.5092101693153381, -0.6219378113746643, -0.45098596811294556, 0.3879563510417938, 63, 0)
(-0.5408863425254822, -0.6088538765907288, -0.43889912962913513, 0.3796139061450958, 63, 0)
(-0.5617322325706482, -0.6004470586776733, -0.43194061517715454, 0.37060439586639404, 63, 0)
(-0.5966495275497437, -0.5859224796295166, -0.4182840585708618, 0.35460221767425537, 63, 0)
(-0.6135454773902893, -0.578072726726532, -0.41069531440734863, 0.3474525511264801, 63, 0)
(-0.6392633318901062, -0.5664479732513428, -0.3914586305618286, 0.34240251779556274, 63, 0)
(-0.6446924805641174, -0.5645360350608826, -0.3849577307701111, 0.3427513539791107, 63, 0)
(-0.6636462211608887, -0.5575610995292664, -0.3629736602306366, 0.34197914600372314, 63, 0)
(-0.6952416300773621, -0.5374054908752441, -0.3528233766555786, 0.3214814364910126, 63, 0)
(-0.7082452774047852, -0.5305627584457397, -0.3444472551345825, 0.3134452998638153, 63, 0)
(-0.7130208015441895, -0.5370814800262451, -0.3234807848930359, 0.3138553500175476, 63, 0)
(-0.7147660851478577, -0.5440821647644043, -0.3063659071922302, 0.3149987757205963, 63, 0)
