<YEI3Space WL:12000861>


           R,                   i,                  j,                    k,        %,  Button

(-0.10563898831605911, -0.7204691171646118, 0.039491914212703705, -0.6842553615570068, 4, 0)
(-0.06954492628574371, -0.7411657571792603, 0.07841181755065918, -0.663090169429779, 4, 0)
(-0.033355023711919785, -0.764297366142273, 0.12001851946115494, -0.6327185034751892, 4, 0)
(-0.021881192922592163, -0.7743552327156067, 0.13871969282627106, -0.6169702410697937, 4, 0)
(-0.011907064355909824, -0.7881186008453369, 0.16336369514465332, -0.5933295488357544, 4, 0)
(-0.007652809843420982, -0.8061459064483643, 0.1898849457502365, -0.5603694319725037, 4, 0)
(-0.012607823126018047, -0.8182569742202759, 0.2116495668888092, -0.5343230962753296, 4, 0)
(-0.016121042892336845, -0.8253639340400696, 0.23330330848693848, -0.5138911604881287, 4, 0)
(-0.023973289877176285, -0.8316515684127808, 0.2777613699436188, -0.4802393317222595, 4, 0)
(-0.04104303941130638, -0.829397439956665, 0.33669838309288025, -0.4439028799533844, 4, 0)
(-0.07746071368455887, -0.8114253282546997, 0.424736887216568, -0.3939385414123535, 4, 0)
(-0.10727271437644958, -0.7920473217964172, 0.4837987422943115, -0.3565008044242859, 4, 0)
(-0.12700293958187103, -0.7804269194602966, 0.5147323608398438, -0.33144351840019226, 4, 0)
(-0.14579305052757263, -0.7714278101921082, 0.5378928184509277, -0.3071073889732361, 4, 0)
(-0.17910470068454742, -0.7553409337997437, 0.5742722153663635, -0.2599870562553406, 4, 0)
(-0.20938849449157715, -0.7282454967498779, 0.6232994198799133, -0.193165585398674, 4, 0)
(-0.2263040542602539, -0.7043924331665039, 0.6579179763793945, -0.14057670533657074, 4, 0)
(-0.23244334757328033, -0.6918829679489136, 0.6756755113601685, -0.10358895361423492, 4, 0)
(-0.23284077644348145, -0.6873641014099121, 0.6833445429801941, -0.07972598075866699, 4, 0)
(-0.23104164004325867, -0.6858512163162231, 0.6876501441001892, -0.05801193416118622, 4, 0)
(-0.22792799770832062, -0.6861752271652222, 0.6897521018981934, -0.03813815861940384, 4, 0)
(-0.22370199859142303, -0.687683641910553, 0.6904242038726807, -0.019057393074035645, 4, 0)
(-0.21857479214668274, -0.6904419660568237, 0.6895758509635925, -0.0005719093605875969, 4, 0)
(-0.20991766452789307, -0.6964391469955444, 0.6857531666755676, 0.02549636922776699, 4, 0)
(-0.20357300341129303, -0.7016940116882324, 0.6815090179443359, 0.04158248379826546, 4, 0)
(-0.1972464621067047, -0.7112196087837219, 0.6722449660301208, 0.05785590410232544, 4, 0)
(-0.19467657804489136, -0.719290018081665, 0.6637662649154663, 0.06432224065065384, 4, 0)
(-0.19233208894729614, -0.7291005849838257, 0.6533796191215515, 0.06719895452260971, 4, 0)
(-0.19021742045879364, -0.7405597567558289, 0.6410362720489502, 0.06679171323776245, 4, 0)
(-0.19473324716091156, -0.767028272151947, 0.6091473698616028, 0.05183102563023567, 4, 0)
(-0.21192775666713715, -0.7890511155128479, 0.5758538246154785, 0.029623355716466904, 4, 0)
(-0.23191268742084503, -0.8120149374008179, 0.5355809926986694, 0.0012063509784638882, 4, 0)
(-0.2603559195995331, -0.8379953503608704, 0.4779019355773926, -0.03985720872879028, 4, 0)
(-0.27374348044395447, -0.8489299416542053, 0.4481876790523529, -0.05924952030181885, 4, 0)
(-0.28811413049697876, -0.8630359172821045, 0.4062499403953552, -0.08438191562891006, 4, 0)
(-0.29552072286605835, -0.8758529424667358, 0.3662670850753784, -0.10676063597202301, 4, 0)
(-0.2989651560783386, -0.8875235319137573, 0.3262166976928711, -0.12847015261650085, 4, 0)
(-0.30036062002182007, -0.8976042866706848, 0.2855571210384369, -0.1501578390598297, 4, 0)
(-0.3058396875858307, -0.9062751531600952, 0.23025831580162048, -0.17918844521045685, 4, 0)
(-0.3130420744419098, -0.9088476896286011, 0.18585479259490967, -0.2036135047674179, 4, 0)
(-0.3256630301475525, -0.9060044288635254, 0.12374300509691238, -0.24038958549499512, 4, 0)
(-0.3326267600059509, -0.9015778303146362, 0.09215329587459564, -0.2608155906200409, 4, 0)
(-0.34628409147262573, -0.8903094530105591, 0.049158334732055664, -0.2915821373462677, 4, 0)
(-0.36444130539894104, -0.8739975690841675, 0.006966635584831238, -0.3213444650173187, 4, 0)
(-0.38486045598983765, -0.8535894155502319, -0.034888431429862976, -0.3493574857711792, 4, 0)
(-0.3994517922401428, -0.8377480506896973, -0.06387309730052948, -0.3667926490306854, 4, 0)
(-0.4230949580669403, -0.8101199865341187, -0.10923789441585541, -0.39084985852241516, 4, 0)
(-0.4537290930747986, -0.7724738121032715, -0.16153226792812347, -0.4139101207256317, 4, 0)
(-0.490268737077713, -0.7219239473342896, -0.21879126131534576, -0.4365695118904114, 4, 0)
(-0.5298260450363159, -0.6580109596252441, -0.27727633714675903, -0.45762839913368225, 4, 0)
(-0.5847947001457214, -0.5375457406044006, -0.365357905626297, -0.4853590428829193, 4, 0)
(-0.6006733775138855, -0.4866812527179718, -0.3944215774536133, -0.49675416946411133, 4, 0)
(-0.6276811957359314, -0.38404905796051025, -0.4418800473213196, -0.5130931735038757, 4, 0)
(-0.6528233289718628, -0.2678603529930115, -0.4851629137992859, -0.5164200663566589, 4, 0)
(-0.6694607138633728, -0.12776988744735718, -0.5339653491973877, -0.5003783106803894, 4, 0)
(-0.6687899827957153, -0.07976237684488297, -0.5531622171401978, -0.49027493596076965, 4, 0)
(-0.6627728939056396, -0.03961874917149544, -0.5731299519538879, -0.48029640316963196, 4, 0)
(-0.6131142377853394, 0.024373497813940048, -0.6349672675132751, -0.4693755805492401, 4, 0)
(-0.5931797623634338, 0.0035831728018820286, -0.6458307504653931, -0.48065343499183655, 4, 0)
(-0.5951321125030518, -0.02986627258360386, -0.6306957006454468, -0.4971407353878021, 4, 0)
(-0.5896441340446472, -0.06242899224162102, -0.6171286702156067, -0.5172764658927917, 4, 0)
(-0.5700808763504028, -0.0886065810918808, -0.6141404509544373, -0.5385056734085083, 4, 0)
(-0.552879810333252, -0.10296940803527832, -0.6200512647628784, -0.5470443964004517, 4, 0)
(-0.5427471995353699, -0.1150999516248703, -0.623558521270752, -0.5507742762565613, 4, 0)
(-0.5344082713127136, -0.12989181280136108, -0.6252673268318176, -0.5536935925483704, 4, 0)
(-0.5279493927955627, -0.15190988779067993, -0.6261070966720581, -0.5533379316329956, 4, 0)
(-0.5224578976631165, -0.17042505741119385, -0.6227099299430847, -0.5569790601730347, 4, 0)
(-0.5136852264404297, -0.19985871016979218, -0.6124677062034607, -0.5666279792785645, 4, 0)
(-0.5037493705749512, -0.2312333732843399, -0.5960139632225037, -0.5809777975082397, 4, 0)
(-0.49602702260017395, -0.25370678305625916, -0.5815948247909546, -0.5927374362945557, 4, 0)
(-0.4640183746814728, -0.3401693105697632, -0.5164952278137207, -0.6341961622238159, 4, 0)
(-0.4417652189731598, -0.3967001438140869, -0.4706190824508667, -0.6526793837547302, 4, 0)
(-0.4286472797393799, -0.4252319931983948, -0.44443899393081665, -0.6617502570152283, 4, 0)
(-0.4182133674621582, -0.4464244842529297, -0.4235067069530487, -0.6681653261184692, 4, 0)
(-0.40699970722198486, -0.46955811977386475, -0.39978456497192383, -0.6738241314888, 4, 0)
(-0.38895541429519653, -0.5131807923316956, -0.34880536794662476, -0.6809508204460144, 4, 0)
(-0.38194799423217773, -0.5342875719070435, -0.3195543885231018, -0.6830355525016785, 4, 0)
(-0.37358203530311584, -0.5651474595069885, -0.2790534198284149, -0.6805689334869385, 4, 0)
(-0.3667086958885193, -0.5970613360404968, -0.24283695220947266, -0.6708747744560242, 4, 0)
(-0.3597942888736725, -0.6267068386077881, -0.20726287364959717, -0.6594154834747314, 4, 0)
(-0.35310131311416626, -0.6457847356796265, -0.18227112293243408, -0.6519654989242554, 4, 0)
(-0.34208160638809204, -0.6739833950996399, -0.14680954813957214, -0.6381014585494995, 4, 0)
(-0.332884281873703, -0.701313316822052, -0.11295539140701294, -0.6201521754264832, 4, 0)
(-0.3185172379016876, -0.7350249290466309, -0.060656651854515076, -0.5954881310462952, 4, 0)
(-0.29659581184387207, -0.7760455012321472, 0.019190683960914612, -0.5562518835067749, 4, 0)
(-0.2834164798259735, -0.7990105152130127, 0.07469108700752258, -0.5250511169433594, 4, 0)
(-0.2710600793361664, -0.8190056085586548, 0.12728634476661682, -0.4894430637359619, 4, 0)
(-0.26057323813438416, -0.8370603322982788, 0.17291074991226196, -0.44892480969429016, 4, 0)
(-0.24538563191890717, -0.8619818687438965, 0.2291904091835022, -0.37979617714881897, 4, 0)
(-0.2364681214094162, -0.873094379901886, 0.2485765665769577, -0.34640857577323914, 4, 0)
(-0.230561763048172, -0.8790013790130615, 0.2609931528568268, -0.32569968700408936, 4, 0)
(-0.22681766748428345, -0.8829751014709473, 0.27357959747314453, -0.3066974878311157, 4, 0)
(-0.2259860634803772, -0.8861368298530579, 0.28055834770202637, -0.2915116250514984, 4, 0)
(-0.22841766476631165, -0.8882617354393005, 0.28521764278411865, -0.2783297300338745, 4, 0)
(-0.23088568449020386, -0.8884434103965759, 0.28440913558006287, -0.2765352427959442, 4, 0)
(-0.2349313199520111, -0.8881818056106567, 0.28177401423454285, -0.2766658067703247, 4, 0)
(-0.2414441704750061, -0.8873450756072998, 0.2780672013759613, -0.2774930000305176, 4, 0)
(-0.2432064563035965, -0.886987030506134, 0.27720412611961365, -0.27796170115470886, 4, 0)
(-0.24706286191940308, -0.8856682181358337, 0.2754834294319153, -0.28046533465385437, 4, 0)
(-0.2531318664550781, -0.8833212852478027, 0.27496853470802307, -0.28294944763183594, 4, 0)
(-0.26113632321357727, -0.8802592158317566, 0.2750231921672821, -0.2851559817790985, 4, 0)
(-0.27727898955345154, -0.8731200695037842, 0.2740532159805298, -0.29269886016845703, 4, 0)
(-0.2954244613647461, -0.8634757399559021, 0.2642230987548828, -0.31196197867393494, 4, 0)
(-0.2981335520744324, -0.8614010214805603, 0.2611824870109558, -0.3176296651363373, 4, 0)
(-0.30409470200538635, -0.853748619556427, 0.25353357195854187, -0.3381724953651428, 4, 0)
(-0.30920740962028503, -0.8448057174682617, 0.244899719953537, -0.36155009269714355, 4, 0)
(-0.30534663796424866, -0.8427259922027588, 0.24242472648620605, -0.371223509311676, 4, 0)
(-0.29884767532348633, -0.842066764831543, 0.2388409674167633, -0.38022205233573914, 4, 0)
(-0.28866541385650635, -0.8397184014320374, 0.24142760038375854, -0.39148229360580444, 4, 0)
(-0.2737024426460266, -0.8262711763381958, 0.26247531175613403, -0.4164970815181732, 4, 0)
(-0.27763333916664124, -0.8199479579925537, 0.267717570066452, -0.42300423979759216, 4, 0)
(-0.28353843092918396, -0.8151013255119324, 0.2719552516937256, -0.4257422387599945, 4, 0)
(-0.28454336524009705, -0.8115307092666626, 0.27294987440109253, -0.4312208890914917, 4, 0)
(-0.2882848381996155, -0.8115391731262207, 0.26898717880249023, -0.4312099516391754, 4, 0)
(-0.2891916334629059, -0.8173351287841797, 0.27345842123031616, -0.41659578680992126, 4, 0)
(-0.2882485091686249, -0.820838987827301, 0.28181853890419006, -0.4046168029308319, 4, 0)
(-0.3022969365119934, -0.820310652256012, 0.2906847298145294, -0.3888565003871918, 4, 0)
(-0.31052902340888977, -0.8207155466079712, 0.28960421681404114, -0.3822660446166992, 4, 0)
(-0.3178730010986328, -0.820360541343689, 0.2879451513290405, -0.3782234787940979, 4, 0)
(-0.3300434947013855, -0.8144424557685852, 0.2884399890899658, -0.38020676374435425, 4, 0)
(-0.33696696162223816, -0.8091526627540588, 0.28910741209983826, -0.3848925828933716, 4, 0)
(-0.3395039737224579, -0.8025949597358704, 0.29271772503852844, -0.39356687664985657, 4, 0)
(-0.34477150440216064, -0.7966090440750122, 0.296692818403244, -0.39814597368240356, 4, 0)
(-0.34677037596702576, -0.7933101058006287, 0.30017176270484924, -0.4003826975822449, 4, 0)
(-0.35479360818862915, -0.7890845537185669, 0.30190107226371765, -0.4004036784172058, 4, 0)
(-0.37103599309921265, -0.781822681427002, 0.29683616757392883, -0.4037003517150879, 4, 0)
(-0.3766264021396637, -0.7807398438453674, 0.2916829586029053, -0.40437498688697815, 4, 0)
(-0.38299185037612915, -0.7771787643432617, 0.28564563393592834, -0.4095328450202942, 4, 0)
(-0.3856072425842285, -0.7746509313583374, 0.28311464190483093, -0.4136051535606384, 4, 0)
(-0.38228675723075867, -0.7672155499458313, 0.2864170968532562, -0.4280218780040741, 4, 0)
(-0.3823404312133789, -0.7626062035560608, 0.28943267464637756, -0.4341386556625366, 4, 0)
(-0.38479724526405334, -0.7524828910827637, 0.29768186807632446, -0.44394394755363464, 4, 0)
(-0.38547515869140625, -0.7478401064872742, 0.30142876505851746, -0.4486481249332428, 4, 0)
(-0.3876791298389435, -0.7430053353309631, 0.30699393153190613, -0.45100197196006775, 4, 0)
(-0.39269834756851196, -0.7368926405906677, 0.313018798828125, -0.4525446593761444, 4, 0)
(-0.3966194689273834, -0.7329245805740356, 0.31726717948913574, -0.4526105225086212, 4, 0)
(-0.4009803533554077, -0.7303898334503174, 0.3214978873729706, -0.4498717188835144, 4, 0)
(-0.4046863317489624, -0.7270854115486145, 0.3242107033729553, -0.44995933771133423, 4, 0)
(-0.41230371594429016, -0.7208163142204285, 0.32598763704299927, -0.45184266567230225, 4, 0)
(-0.41627296805381775, -0.7175317406654358, 0.3226096034049988, -0.45583802461624146, 4, 0)
(-0.41722169518470764, -0.7167192101478577, 0.3129191994667053, -0.4629484713077545, 4, 0)
(-0.41775038838386536, -0.7159379720687866, 0.30372050404548645, -0.4697567820549011, 4, 0)
(-0.41932621598243713, -0.716001033782959, 0.29254791140556335, -0.4753144085407257, 4, 0)
(-0.425041139125824, -0.7110459804534912, 0.28284740447998047, -0.4834780693054199, 4, 0)
(-0.4278564155101776, -0.7076266407966614, 0.27759408950805664, -0.48902466893196106, 4, 0)
(-0.4236992299556732, -0.7077675461769104, 0.2709362804889679, -0.4961227774620056, 4, 0)
(-0.42245790362358093, -0.7053788304328918, 0.2705094814300537, -0.5007941722869873, 4, 0)
(-0.4213925898075104, -0.7031742334365845, 0.27000534534454346, -0.5050459504127502, 4, 0)
(-0.4193280339241028, -0.6998155117034912, 0.27046748995780945, -0.5111453533172607, 4, 0)
(-0.416724294424057, -0.6975335478782654, 0.2720417380332947, -0.5155400037765503, 4, 0)
(-0.4115458130836487, -0.6942960023880005, 0.2755367159843445, -0.5221711993217468, 4, 0)
(-0.4036560654640198, -0.6895453333854675, 0.2817452549934387, -0.5312332510948181, 4, 0)
(-0.3981039226055145, -0.685946524143219, 0.28647783398628235, -0.5375139713287354, 4, 0)
(-0.394804447889328, -0.6835702657699585, 0.28920048475265503, -0.5415019989013672, 4, 0)
(-0.3908182978630066, -0.676472008228302, 0.29074332118034363, -0.552372395992279, 4, 0)
(-0.3849266469478607, -0.675079345703125, 0.28764376044273376, -0.5597862601280212, 4, 0)
(-0.37792956829071045, -0.6739034056663513, 0.2860540747642517, -0.5667423009872437, 4, 0)
(-0.36677148938179016, -0.6736648082733154, 0.28307226300239563, -0.5757817029953003, 4, 0)
(-0.35567140579223633, -0.6744085550308228, 0.2802484333515167, -0.5832082629203796, 4, 0)
(-0.3401575982570648, -0.67088383436203, 0.2798510491847992, -0.5965662598609924, 4, 0)
(-0.3220839202404022, -0.6685740351676941, 0.27727004885673523, -0.6102393269538879, 4, 0)
(-0.298284649848938, -0.6725354790687561, 0.2686229348182678, -0.6217427849769592, 4, 0)
(-0.27337417006492615, -0.6768946647644043, 0.26104283332824707, -0.6316146850585938, 4, 0)
(-0.25628095865249634, -0.6789138317108154, 0.2566756010055542, -0.6383681297302246, 4, 0)
(-0.23797382414340973, -0.6809095740318298, 0.2514317035675049, -0.6453781723976135, 4, 0)
(-0.22427767515182495, -0.6819064021110535, 0.24646486341953278, -0.6511209011077881, 4, 0)
(-0.21635301411151886, -0.6859149932861328, 0.24029117822647095, -0.6518990993499756, 4, 0)
(-0.20793144404888153, -0.6907607316970825, 0.2344178408384323, -0.6516612768173218, 4, 0)
(-0.2002519816160202, -0.6924309730529785, 0.23237335681915283, -0.6530247926712036, 4, 0)
(-0.19652710855007172, -0.6935741901397705, 0.2317761927843094, -0.6531554460525513, 4, 0)
(-0.19253340363502502, -0.7007196545600891, 0.22614240646362305, -0.6486774682998657, 4, 0)
(-0.18982166051864624, -0.7036775350570679, 0.22299401462078094, -0.6473634839057922, 4, 0)
(-0.18784725666046143, -0.708698570728302, 0.2175813615322113, -0.6442967653274536, 4, 0)
(-0.1835862398147583, -0.7169092893600464, 0.2087801992893219, -0.6393340826034546, 4, 0)
(-0.18049336969852448, -0.7190907001495361, 0.20651821792125702, -0.6384990215301514, 4, 0)
(-0.1788591891527176, -0.7203941941261292, 0.20395256578922272, -0.6383143067359924, 4, 0)
(-0.17745304107666016, -0.7377049326896667, 0.17978811264038086, -0.6260817646980286, 4, 0)
(-0.17728547751903534, -0.7414443492889404, 0.17439855635166168, -0.6232297420501709, 4, 0)
(-0.1778518259525299, -0.7411639094352722, 0.17430026829242706, -0.6234296560287476, 4, 0)
(-0.18103672564029694, -0.7391231656074524, 0.17355795204639435, -0.625140368938446, 4, 0)
(-0.18369463086128235, -0.7376611232757568, 0.17288652062416077, -0.6262768507003784, 4, 0)
(-0.18616968393325806, -0.7364456653594971, 0.172159805893898, -0.62717604637146, 4, 0)
(-0.18782289326190948, -0.7356876134872437, 0.1706932932138443, -0.6279730796813965, 4, 0)
(-0.18898317217826843, -0.735027015209198, 0.16850970685482025, -0.6289873719215393, 4, 0)
(-0.19026978313922882, -0.734091579914093, 0.16573913395404816, -0.6304266452789307, 4, 0)
(-0.191009059548378, -0.7334846258163452, 0.16463975608348846, -0.6311970353126526, 4, 0)
(-0.19209864735603333, -0.7329443097114563, 0.16397908329963684, -0.6316658854484558, 4, 0)
(-0.19627293944358826, -0.7316915988922119, 0.1625070720911026, -0.632215142250061, 4, 0)
(-0.20117875933647156, -0.7304563522338867, 0.16143803298473358, -0.6323753595352173, 4, 0)
(-0.20735689997673035, -0.7297580242156982, 0.15830211341381073, -0.6319785118103027, 4, 0)
