<YEI3Space WL:12000861>


           R,                   i,                  j,                    k,        %,  Button

(-0.10045824944972992, -0.7700785398483276, 0.00548667274415493, 0.6299659609794617, 63, 0)
(-0.10058658570051193, -0.7700661420822144, 0.005286421626806259, 0.6299623250961304, 63, 0)
(-0.1006254330277443, -0.7701445817947388, 0.005199631676077843, 0.6298608779907227, 63, 0)
(-0.10062969475984573, -0.7701618075370789, 0.005238937214016914, 0.6298390626907349, 63, 0)
(-0.10063263773918152, -0.770164966583252, 0.005330432206392288, 0.6298339366912842, 63, 0)
(-0.10061945766210556, -0.770074188709259, 0.005454119294881821, 0.6299459338188171, 63, 0)
(-0.1006610170006752, -0.7699088454246521, 0.005409130826592445, 0.6301417350769043, 63, 0)
(-0.10048892349004745, -0.7699598073959351, 0.005423612892627716, 0.6301067471504211, 63, 0)
(-0.10056625306606293, -0.7699363231658936, 0.005476171150803566, 0.630122721195221, 63, 0)
(-0.10052439570426941, -0.7700387239456177, 0.0054016318172216415, 0.6300048828125, 63, 0)
(-0.10045655071735382, -0.7700552940368652, 0.005390454083681107, 0.6299954056739807, 63, 0)
(-0.10045410692691803, -0.7700450420379639, 0.005412016063928604, 0.6300081610679626, 63, 0)
(-0.10043614357709885, -0.7700533270835876, 0.0054153576493263245, 0.6300010681152344, 63, 0)
(-0.10033965855836868, -0.7701255083084106, 0.005261238664388657, 0.6299294829368591, 63, 0)
(-0.10029133409261703, -0.7702147364616394, 0.00530502013862133, 0.6298278570175171, 63, 0)
(-0.10043413192033768, -0.7702261805534363, 0.005294362083077431, 0.6297909617424011, 63, 0)
(-0.10040538012981415, -0.7702130675315857, 0.005385152995586395, 0.6298107504844666, 63, 0)
(-0.10047576576471329, -0.7701544165611267, 0.005352606996893883, 0.6298715472221375, 63, 0)
(-0.10041104257106781, -0.7701371908187866, 0.005437718704342842, 0.6299024224281311, 63, 0)
(-0.1005283072590828, -0.770094096660614, 0.005464518442749977, 0.6299360990524292, 63, 0)
