<YEI3Space WL:12000861>


           R,                   i,                  j,                    k,        %,  Button

(-0.14367631077766418, -0.688416063785553, -0.20151251554489136, 0.6817868947982788, 56, 0)
(-0.14368419349193573, -0.6880369186401367, -0.20162349939346313, 0.6821351051330566, 56, 0)
(-0.1438257247209549, -0.6880894899368286, -0.2016647309064865, 0.6820399165153503, 56, 0)
(-0.14384564757347107, -0.6881564855575562, -0.20173346996307373, 0.6819478869438171, 56, 0)
(-0.14388589560985565, -0.6880339980125427, -0.20182155072689056, 0.6820369362831116, 56, 0)
(-0.14387737214565277, -0.6880274415016174, -0.20176827907562256, 0.6820610165596008, 56, 0)
(-0.14368151128292084, -0.6880137920379639, -0.2020205855369568, 0.6820414066314697, 56, 0)
(-0.14377045631408691, -0.6878917217254639, -0.20231568813323975, 0.6820582747459412, 56, 0)
(-0.14376792311668396, -0.687922477722168, -0.20209433138370514, 0.6820934414863586, 56, 0)
(-0.14371654391288757, -0.688036322593689, -0.20212538540363312, 0.6819802522659302, 56, 0)
(-0.1435955911874771, -0.6878988742828369, -0.2019502818584442, 0.6821961402893066, 56, 0)
(-0.14363829791545868, -0.6878964304924011, -0.20200806856155396, 0.6821726560592651, 56, 0)
(-0.14365358650684357, -0.6880212426185608, -0.20208624005317688, 0.6820202469825745, 56, 0)
(-0.14339421689510345, -0.6879637241363525, -0.20188787579536438, 0.682191789150238, 56, 0)
(-0.14359122514724731, -0.6879386901855469, -0.20174166560173035, 0.6822187304496765, 56, 0)
(-0.14348424971103668, -0.687828779220581, -0.20150668919086456, 0.6824214458465576, 56, 0)
(-0.14346542954444885, -0.6879188418388367, -0.2015804946422577, 0.6823127865791321, 56, 0)
(-0.14371070265769958, -0.687931478023529, -0.20172804594039917, 0.6822047829627991, 56, 0)
(-0.1435578316450119, -0.6878500580787659, -0.20158421993255615, 0.6823617815971375, 56, 0)
(-0.14358165860176086, -0.687752902507782, -0.2017645239830017, 0.6824012398719788, 56, 0)
(-0.14336279034614563, -0.6878504753112793, -0.2017253339290619, 0.6823605298995972, 56, 0)
(-0.1435205638408661, -0.6880104541778564, -0.2021830528974533, 0.6820305585861206, 56, 0)
(-0.14354446530342102, -0.6878896951675415, -0.20216672122478485, 0.6821521520614624, 56, 0)
(-0.14351582527160645, -0.6878290772438049, -0.20225021243095398, 0.6821945309638977, 56, 0)
(-0.14337199926376343, -0.6876717805862427, -0.20210354030132294, 0.6824267506599426, 56, 0)
(-0.14339683949947357, -0.6876971125602722, -0.20187053084373474, 0.6824650168418884, 56, 0)
(-0.14336833357810974, -0.6878049373626709, -0.2021411657333374, 0.6822821497917175, 56, 0)
(-0.14333732426166534, -0.6878028512001038, -0.2021644115447998, 0.6822840571403503, 56, 0)
(-0.14327754080295563, -0.6880010962486267, -0.2021024227142334, 0.682114839553833, 56, 0)
(-0.14334774017333984, -0.6876828074455261, -0.2020445168018341, 0.6824382543563843, 56, 0)
(-0.14330503344535828, -0.6875747442245483, -0.20209644734859467, 0.6825407147407532, 56, 0)
(-0.14324642717838287, -0.6875571608543396, -0.20193055272102356, 0.6826198697090149, 56, 0)
(-0.14315395057201385, -0.6878647208213806, -0.20181794464588165, 0.6823626160621643, 56, 0)
(-0.14344905316829681, -0.687832236289978, -0.20196127891540527, 0.6822910308837891, 56, 0)
(-0.14355501532554626, -0.6878550052642822, -0.20199455320835114, 0.6822358965873718, 56, 0)
(-0.1434808224439621, -0.6879514455795288, -0.2020399570465088, 0.6821408867835999, 56, 0)
(-0.14376507699489594, -0.6877984404563904, -0.20213773846626282, 0.6822062134742737, 56, 0)
(-0.14367981255054474, -0.6878067255020142, -0.20190635323524475, 0.6822843551635742, 56, 0)
(-0.14364326000213623, -0.6877907514572144, -0.20171943306922913, 0.6823635697364807, 56, 0)
(-0.1434946060180664, -0.6877244710922241, -0.2016829550266266, 0.6824724078178406, 56, 0)
(-0.14358679950237274, -0.6878968477249146, -0.20185711979866028, 0.682227611541748, 56, 0)
(-0.14360064268112183, -0.687563419342041, -0.20163902640342712, 0.6826252937316895, 56, 0)
(-0.1434381753206253, -0.6872929334640503, -0.20150229334831238, 0.6829721927642822, 56, 0)
(-0.1434304416179657, -0.687477707862854, -0.20143066346645355, 0.6828088164329529, 56, 0)
(-0.14329779148101807, -0.6876512765884399, -0.2014535367488861, 0.6826552152633667, 56, 0)
(-0.14330437779426575, -0.6878583431243896, -0.20135699212551117, 0.6824735403060913, 56, 0)
(-0.14342252910137177, -0.6878765225410461, -0.2014632523059845, 0.6823992729187012, 56, 0)
(-0.1435040682554245, -0.6876093149185181, -0.20145061612129211, 0.6826549172401428, 56, 0)
(-0.1434897631406784, -0.6877255439758301, -0.20152784883975983, 0.6825181841850281, 56, 0)
(-0.1434319019317627, -0.6880654692649841, -0.2016788274049759, 0.6821428537368774, 56, 0)
(-0.14357586205005646, -0.6878966689109802, -0.20186010003089905, 0.6822293400764465, 56, 0)
(-0.14344097673892975, -0.6877596974372864, -0.2017979770898819, 0.6824140548706055, 56, 0)
(-0.14336468279361725, -0.6878891587257385, -0.20182329416275024, 0.6822922229766846, 56, 0)
(-0.14344963431358337, -0.6877936720848083, -0.20186381042003632, 0.6823585033416748, 56, 0)
(-0.14343056082725525, -0.6879962682723999, -0.2019062638282776, 0.6821457743644714, 56, 0)
