<YEI3Space WL:12000861>


           R,                   i,                  j,                    k,        %,  Button

(0.13668468594551086, -0.8477558493614197, -0.13190671801567078, 0.4952051639556885, 69, 0)
(0.13665203750133514, -0.8477403521537781, -0.13196004927158356, 0.49522650241851807, 69, 0)
(0.13667894899845123, -0.8477379083633423, -0.13191115856170654, 0.49523627758026123, 69, 0)
(0.13664978742599487, -0.8477181792259216, -0.1318737268447876, 0.4952879250049591, 69, 0)
(0.13660269975662231, -0.8477513194084167, -0.13188345730304718, 0.49524158239364624, 69, 0)
(0.1366027593612671, -0.8477199077606201, -0.13200683891773224, 0.49526268243789673, 69, 0)
(0.1365869641304016, -0.8476678133010864, -0.13187995553016663, 0.49538981914520264, 69, 0)
(0.13665278255939484, -0.8476603031158447, -0.13189689815044403, 0.4953799843788147, 69, 0)
(0.1366870254278183, -0.8476266264915466, -0.13181927800178528, 0.49544909596443176, 69, 0)
(0.13666372001171112, -0.847586989402771, -0.13180044293403625, 0.49552828073501587, 69, 0)
(0.13669045269489288, -0.8475989699363708, -0.13175129890441895, 0.49551334977149963, 69, 0)
(0.13661856949329376, -0.847582995891571, -0.1318081021308899, 0.49554556608200073, 69, 0)
(0.13659052550792694, -0.8476040363311768, -0.13178925216197968, 0.4955221712589264, 69, 0)
(0.13653795421123505, -0.8475865125656128, -0.13187451660633087, 0.4955439269542694, 69, 0)
(0.13659587502479553, -0.8475970029830933, -0.13190923631191254, 0.49550074338912964, 69, 0)
(0.1365988403558731, -0.8475908041000366, -0.13186049461364746, 0.49552351236343384, 69, 0)
(0.13659831881523132, -0.847602128982544, -0.13180029392242432, 0.4955205023288727, 69, 0)
(0.13664904236793518, -0.8475688695907593, -0.13174165785312653, 0.49557891488075256, 69, 0)
(0.13668060302734375, -0.8476102948188782, -0.13174904882907867, 0.4954971373081207, 69, 0)
(0.13668888807296753, -0.847649097442627, -0.1318156123161316, 0.4954109787940979, 69, 0)
(0.13669559359550476, -0.8476665019989014, -0.1318623423576355, 0.49536678194999695, 69, 0)
(0.13669763505458832, -0.8476735353469849, -0.1319177746772766, 0.495339572429657, 69, 0)
(0.13665461540222168, -0.8476425409317017, -0.13192453980445862, 0.49540266394615173, 69, 0)
(0.1365499049425125, -0.8476148843765259, -0.13195088505744934, 0.4954715967178345, 69, 0)
(0.13652044534683228, -0.8476127982139587, -0.13197648525238037, 0.49547669291496277, 69, 0)
(0.13658033311367035, -0.8476160764694214, -0.13193662464618683, 0.4954650104045868, 69, 0)
(0.1365375816822052, -0.847632884979248, -0.13200995326042175, 0.4954286515712738, 69, 0)
(0.13660243153572083, -0.8475879430770874, -0.13188865780830383, 0.49551984667778015, 69, 0)
(0.13666315376758575, -0.8476201295852661, -0.1318945288658142, 0.49544650316238403, 69, 0)
(0.13665232062339783, -0.8475642204284668, -0.1318185031414032, 0.4955654442310333, 69, 0)
(0.13658909499645233, -0.8475546836853027, -0.13183721899986267, 0.4955940544605255, 69, 0)
(0.1365072876214981, -0.8475354909896851, -0.13190443813800812, 0.49563169479370117, 69, 0)
(0.13659819960594177, -0.8474853038787842, -0.13200314342975616, 0.4956663250923157, 69, 0)
(0.1365174651145935, -0.8475013375282288, -0.13198135793209076, 0.49566689133644104, 69, 0)
(0.13647043704986572, -0.8475027084350586, -0.13185982406139374, 0.49570974707603455, 69, 0)
(0.13656432926654816, -0.847510814666748, -0.13183222711086273, 0.4956774115562439, 69, 0)
(0.13668112456798553, -0.8474879264831543, -0.13193726539611816, 0.49565640091896057, 69, 0)
(0.1365530788898468, -0.8475395441055298, -0.13192732632160187, 0.49560603499412537, 69, 0)
(0.13655519485473633, -0.8475205302238464, -0.13204693794250488, 0.4956061542034149, 69, 0)
(0.13657772541046143, -0.8474936485290527, -0.1320326179265976, 0.4956496059894562, 69, 0)
(0.1366458684206009, -0.8475221395492554, -0.13199694454669952, 0.4955917000770569, 69, 0)
(0.1367569863796234, -0.8474986553192139, -0.13204573094844818, 0.4955882132053375, 69, 0)
(0.1367315798997879, -0.847504198551178, -0.13203556835651398, 0.49558836221694946, 69, 0)
(0.13675004243850708, -0.8475029468536377, -0.13206805288791656, 0.49557676911354065, 69, 0)
(0.13681061565876007, -0.8474790453910828, -0.13202986121177673, 0.4956111013889313, 69, 0)
(0.13686993718147278, -0.8474962711334229, -0.13203829526901245, 0.4955630302429199, 69, 0)
(0.13674649596214294, -0.8474885821342468, -0.13203689455986023, 0.49561068415641785, 69, 0)
(0.13677918910980225, -0.8474980592727661, -0.13202659785747528, 0.49558818340301514, 69, 0)
(0.13675138354301453, -0.8474928140640259, -0.13191232085227966, 0.49563533067703247, 69, 0)
(0.13675907254219055, -0.8474946022033691, -0.13195954263210297, 0.4956173300743103, 69, 0)
(0.13683822751045227, -0.8475103378295898, -0.13194946944713593, 0.4955713748931885, 69, 0)
(0.13684017956256866, -0.8475633859634399, -0.1319524496793747, 0.49547940492630005, 69, 0)
(0.13676591217517853, -0.8475675582885742, -0.13196399807929993, 0.4954897463321686, 69, 0)
(0.13668549060821533, -0.8475343585014343, -0.13197486102581024, 0.4955657720565796, 69, 0)
(0.13665926456451416, -0.8475571274757385, -0.13203741610050201, 0.49551719427108765, 69, 0)
(0.1367165446281433, -0.8475443124771118, -0.13199545443058014, 0.4955345392227173, 69, 0)
(0.13679738342761993, -0.8476046323776245, -0.13197676837444305, 0.49541425704956055, 69, 0)
(0.1368025690317154, -0.8476371765136719, -0.1320125311613083, 0.4953474700450897, 69, 0)
(0.13688576221466064, -0.8476287722587585, -0.13190069794654846, 0.49536871910095215, 69, 0)
(0.1368546038866043, -0.847649335861206, -0.13189321756362915, 0.49534422159194946, 69, 0)
(0.1368418037891388, -0.8476473689079285, -0.13186879456043243, 0.4953575134277344, 69, 0)
(0.1367703527212143, -0.8476773500442505, -0.13185416162014008, 0.4953296482563019, 69, 0)
(0.1367325335741043, -0.8476771712303162, -0.13183090090751648, 0.4953468441963196, 69, 0)
(0.13674470782279968, -0.8476952910423279, -0.13180069625377655, 0.49532032012939453, 69, 0)
(0.13674074411392212, -0.8476604223251343, -0.1317652463912964, 0.49539074301719666, 69, 0)
(0.1367885172367096, -0.8477339744567871, -0.13178539276123047, 0.4952460825443268, 69, 0)
(0.13677050173282623, -0.8477069139480591, -0.13176505267620087, 0.49530282616615295, 69, 0)
(0.1369171142578125, -0.8476857542991638, -0.13176219165325165, 0.49529922008514404, 69, 0)
(0.13684611022472382, -0.8476533889770508, -0.13167494535446167, 0.4953974783420563, 69, 0)
(0.13680341839790344, -0.8476426601409912, -0.13168661296367645, 0.49542468786239624, 69, 0)
(0.1368173062801361, -0.8476638793945312, -0.1316922903060913, 0.4953831732273102, 69, 0)
(0.1366269588470459, -0.8476906418800354, -0.13184668123722076, 0.49534863233566284, 69, 0)
(0.13673441112041473, -0.8476241230964661, -0.13190653920173645, 0.4954167902469635, 69, 0)
(0.13681554794311523, -0.8476008176803589, -0.13171321153640747, 0.49548575282096863, 69, 0)
(0.13651114702224731, -0.8476701974868774, -0.13165466487407684, 0.4954667091369629, 69, 0)
(0.13665039837360382, -0.8476036787033081, -0.13195405900478363, 0.49546220898628235, 69, 0)
(0.13661938905715942, -0.8476083874702454, -0.13194815814495087, 0.49546435475349426, 69, 0)
(0.13637693226337433, -0.8476445078849792, -0.13171227276325226, 0.4955320954322815, 69, 0)
(0.13652217388153076, -0.8475754857063293, -0.13177959620952606, 0.4955924153327942, 69, 0)
(0.1365004926919937, -0.8475044369697571, -0.13191881775856018, 0.49568286538124084, 69, 0)
(0.1364324390888214, -0.8475019931793213, -0.1317761093378067, 0.49574369192123413, 69, 0)
(0.13646677136421204, -0.8474550247192383, -0.1318335384130478, 0.49579918384552, 69, 0)
(0.13631770014762878, -0.847502589225769, -0.13179634511470795, 0.4957689642906189, 69, 0)
(0.13626576960086823, -0.8475528359413147, -0.13186517357826233, 0.49567899107933044, 69, 0)
(0.13619765639305115, -0.8475319147109985, -0.13191230595111847, 0.4957210123538971, 69, 0)
(0.13618247210979462, -0.8475021719932556, -0.13200689852237701, 0.4957506060600281, 69, 0)
(0.1362619549036026, -0.8474680185317993, -0.13193070888519287, 0.4958076775074005, 69, 0)
(0.1362646520137787, -0.8474839329719543, -0.13188353180885315, 0.4957921802997589, 69, 0)
(0.13631491363048553, -0.847475528717041, -0.1320943981409073, 0.4957365095615387, 69, 0)
(0.13636718690395355, -0.8474445939064026, -0.13196054100990295, 0.4958106577396393, 69, 0)
(0.1363578587770462, -0.8474237322807312, -0.1319250464439392, 0.4958583414554596, 69, 0)
(0.13629727065563202, -0.8473947644233704, -0.13200335204601288, 0.4959036409854889, 69, 0)
(0.13627353310585022, -0.8473362326622009, -0.13190506398677826, 0.49603644013404846, 69, 0)
(0.13628731667995453, -0.8473201990127563, -0.13192611932754517, 0.49605420231819153, 69, 0)
(0.13629843294620514, -0.8473610281944275, -0.1319510042667389, 0.49597495794296265, 69, 0)
(0.13635040819644928, -0.8472946286201477, -0.13205230236053467, 0.4960471987724304, 69, 0)
(0.13637416064739227, -0.8473122119903564, -0.13208486139774323, 0.49600180983543396, 69, 0)
(0.1363571733236313, -0.8473502397537231, -0.13199958205223083, 0.49596428871154785, 69, 0)
(0.13643507659435272, -0.8473659753799438, -0.13207468390464783, 0.4958958923816681, 69, 0)
(0.13637885451316833, -0.8473593592643738, -0.13201898336410522, 0.4959375560283661, 69, 0)
(0.13637736439704895, -0.8473872542381287, -0.13199858367443085, 0.4958955645561218, 69, 0)
(0.1362690031528473, -0.8473585247993469, -0.13200338184833527, 0.49597328901290894, 69, 0)
(0.13631221652030945, -0.8473504185676575, -0.13199767470359802, 0.4959767758846283, 69, 0)
(0.1362634152173996, -0.8473333716392517, -0.13198086619377136, 0.4960235357284546, 69, 0)
(0.13624708354473114, -0.8472766280174255, -0.1319437474012375, 0.49613532423973083, 69, 0)
(0.13633133471012115, -0.8472955226898193, -0.13200175762176514, 0.49606433510780334, 69, 0)
(0.13637401163578033, -0.8472793102264404, -0.13202449679374695, 0.49607419967651367, 69, 0)
(0.13640852272510529, -0.8472818732261658, -0.13190355896949768, 0.49609246850013733, 69, 0)
(0.13633006811141968, -0.8473325371742249, -0.13190783560276031, 0.49602630734443665, 69, 0)
(0.13633152842521667, -0.8473535180091858, -0.1320507675409317, 0.49595218896865845, 69, 0)
(0.1364922821521759, -0.8473526835441589, -0.13198897242546082, 0.4959258735179901, 69, 0)
(0.13638140261173248, -0.8474244475364685, -0.13195516169071198, 0.495842844247818, 69, 0)
(0.13639959692955017, -0.8474630117416382, -0.13202793896198273, 0.4957524836063385, 69, 0)
(0.1363094300031662, -0.8474653959274292, -0.1320553719997406, 0.4957658052444458, 69, 0)
(0.1363808661699295, -0.847491979598999, -0.1319810301065445, 0.49572059512138367, 69, 0)
(0.13652044534683228, -0.8474195599555969, -0.1319410800933838, 0.49581652879714966, 69, 0)
(0.13646119832992554, -0.8474216461181641, -0.1318982094526291, 0.49584081768989563, 69, 0)
(0.13648071885108948, -0.8474265336990356, -0.13196180760860443, 0.4958101809024811, 69, 0)
(0.1364976465702057, -0.8474469184875488, -0.13196948170661926, 0.4957684278488159, 69, 0)
(0.13648463785648346, -0.8474316596984863, -0.1319553107023239, 0.4958016574382782, 69, 0)
(0.13653375208377838, -0.8474690318107605, -0.13184060156345367, 0.49575507640838623, 69, 0)
(0.13654161989688873, -0.8474516868591309, -0.13185866177082062, 0.4957773685455322, 69, 0)
(0.1365332007408142, -0.8474407196044922, -0.13193795084953308, 0.49577754735946655, 69, 0)
(0.13650500774383545, -0.8474431037902832, -0.13191282749176025, 0.49578794836997986, 69, 0)
(0.13646410405635834, -0.847456157207489, -0.13188406825065613, 0.4957846701145172, 69, 0)
(0.13638581335544586, -0.8474484086036682, -0.13195280730724335, 0.49580100178718567, 69, 0)
(0.13636399805545807, -0.8474489450454712, -0.1319320648908615, 0.4958117604255676, 69, 0)
(0.1363350749015808, -0.8474360704421997, -0.1319042444229126, 0.4958488941192627, 69, 0)
(0.13643613457679749, -0.8473950624465942, -0.13192394375801086, 0.4958862066268921, 69, 0)
(0.1363488882780075, -0.8474509119987488, -0.1319245547056198, 0.49581432342529297, 69, 0)
(0.1362532377243042, -0.8474262952804565, -0.13200892508029938, 0.49586033821105957, 69, 0)
(0.13631238043308258, -0.8473691344261169, -0.13203231990337372, 0.49593573808670044, 69, 0)
(0.1362970471382141, -0.8473356366157532, -0.13202616572380066, 0.4959985911846161, 69, 0)
(0.136211097240448, -0.8473385572433472, -0.13198210299015045, 0.49602895975112915, 69, 0)
(0.13622376322746277, -0.8473504781723022, -0.13192418217658997, 0.4960203766822815, 69, 0)
(0.13621261715888977, -0.847331702709198, -0.13196979463100433, 0.49604347348213196, 69, 0)
(0.13628247380256653, -0.8472825288772583, -0.1319747418165207, 0.4961071312427521, 69, 0)
(0.136272132396698, -0.847264289855957, -0.13202668726444244, 0.496127188205719, 69, 0)
