<YEI3Space WL:12000861>


           R,                   i,                  j,                    k,        %,  Button

(-0.1651931256055832, -0.5574511289596558, 0.09460054337978363, -0.8080905079841614, 4, 0)
(-0.16481932997703552, -0.5572140216827393, 0.09433701634407043, -0.808361291885376, 4, 0)
(-0.16454224288463593, -0.5568021535873413, 0.09442887455224991, -0.8086905479431152, 4, 0)
(-0.16413536667823792, -0.5565407276153564, 0.09439951181411743, -0.8089567422866821, 4, 0)
(-0.16245248913764954, -0.5565723776817322, 0.09442120790481567, -0.8092719912528992, 4, 0)
(-0.16124774515628815, -0.5562608242034912, 0.09505608677864075, -0.8096527457237244, 4, 0)
(-0.15860678255558014, -0.5569093227386475, 0.09494385123252869, -0.809741735458374, 4, 0)
(-0.15671585500240326, -0.5575478076934814, 0.09501998126506805, -0.8096616864204407, 4, 0)
(-0.1532585471868515, -0.5584516525268555, 0.09650233387947083, -0.8095252513885498, 4, 0)
(-0.14573770761489868, -0.5595949292182922, 0.10038288682699203, -0.80965256690979, 4, 0)
(-0.13505402207374573, -0.5608556270599365, 0.10776874423027039, -0.8096835017204285, 4, 0)
(-0.11983458697795868, -0.5617326498031616, 0.12048786133527756, -0.809678316116333, 4, 0)
(-0.09799221903085709, -0.5621842741966248, 0.13845379650592804, -0.8094300031661987, 4, 0)
(-0.08532621711492538, -0.5621784925460815, 0.1501084268093109, -0.8087906837463379, 4, 0)
(-0.06477746367454529, -0.5616607069969177, 0.16914957761764526, -0.8072978258132935, 4, 0)
(-0.04935738071799278, -0.5607113838195801, 0.18346530199050903, -0.8059202432632446, 4, 0)
(-0.015722939744591713, -0.5579074621200562, 0.21372690796852112, -0.8017561435699463, 4, 0)
(-0.007166191004216671, -0.5570889115333557, 0.2216181457042694, -0.8003038167953491, 4, 0)
(0.013675459660589695, -0.5539875030517578, 0.24035009741783142, -0.7969583868980408, 4, 0)
(0.040779951959848404, -0.5491191148757935, 0.26615655422210693, -0.7911801338195801, 4, 0)
(0.05926515534520149, -0.5446480512619019, 0.2855599522590637, -0.7863216400146484, 4, 0)
(0.08746298402547836, -0.5359756946563721, 0.3158358633518219, -0.7780283689498901, 4, 0)
(0.12841247022151947, -0.5213136672973633, 0.35896462202072144, -0.7634702324867249, 4, 0)
(0.16413094103336334, -0.5074402093887329, 0.39521270990371704, -0.7479122281074524, 4, 0)
(0.18962737917900085, -0.4975122809410095, 0.4203825891017914, -0.7347118258476257, 4, 0)
(0.22627249360084534, -0.48221221566200256, 0.4573877155780792, -0.7120876312255859, 4, 0)
(0.26176032423973083, -0.46577760577201843, 0.49506184458732605, -0.685161828994751, 4, 0)
(0.30913448333740234, -0.440372109413147, 0.5475388765335083, -0.6408662796020508, 4, 0)
(0.35727453231811523, -0.41232830286026, 0.5986911058425903, -0.5864380598068237, 4, 0)
(0.4001997709274292, -0.38743478059768677, 0.6373635530471802, -0.5324491858482361, 4, 0)
(0.42790040373802185, -0.37004345655441284, 0.6614741086959839, -0.49236300587654114, 4, 0)
(0.4519689679145813, -0.3513922393321991, 0.6845650672912598, -0.4512411057949066, 4, 0)
(0.48091089725494385, -0.3246212601661682, 0.7131243944168091, -0.39344558119773865, 4, 0)
(0.5004311800003052, -0.30434074997901917, 0.7316892743110657, -0.34867775440216064, 4, 0)
(0.5161621570587158, -0.2859676480293274, 0.7473381161689758, -0.30542582273483276, 4, 0)
(0.5312622785568237, -0.2604268491268158, 0.7674763202667236, -0.2468165010213852, 4, 0)
(0.5382406115531921, -0.2382488250732422, 0.7832169532775879, -0.20026494562625885, 4, 0)
(0.5425060391426086, -0.203861802816391, 0.8025608062744141, -0.14150649309158325, 4, 0)
(0.5445066094398499, -0.17182184755802155, 0.8147462606430054, -0.10089005529880524, 4, 0)
(0.546513557434082, -0.1376490294933319, 0.8237560391426086, -0.06165916845202446, 4, 0)
(0.5467937588691711, -0.09323173016309738, 0.8320444822311401, -0.005162376444786787, 4, 0)
(0.54201340675354, -0.06047169491648674, 0.8371595740318298, 0.04157961532473564, 4, 0)
(0.533244788646698, -0.029269780963659286, 0.8412070870399475, 0.08464115113019943, 4, 0)
(0.5236570239067078, 0.0017093895003199577, 0.8432082533836365, 0.12157472968101501, 4, 0)
(0.512908399105072, 0.04059313237667084, 0.8423705697059631, 0.16027794778347015, 4, 0)
(0.5059458613395691, 0.06764808297157288, 0.8398904800415039, 0.18446309864521027, 4, 0)
(0.49798646569252014, 0.0947757139801979, 0.8356547355651855, 0.21144361793994904, 4, 0)
(0.49234503507614136, 0.10839010775089264, 0.8328590393066406, 0.22845983505249023, 4, 0)
(0.4866724908351898, 0.11824741959571838, 0.8304169774055481, 0.2440800815820694, 4, 0)
(0.4820528030395508, 0.12335284799337387, 0.8289838433265686, 0.25533318519592285, 4, 0)
(0.47278594970703125, 0.12640509009361267, 0.8266370892524719, 0.27778854966163635, 4, 0)
(0.45371899008750916, 0.12792924046516418, 0.8265896439552307, 0.3074459135532379, 4, 0)
(0.4446223974227905, 0.1286524534225464, 0.8276406526565552, 0.3174438178539276, 4, 0)
(0.43424540758132935, 0.1257750242948532, 0.8291943073272705, 0.32870712876319885, 4, 0)
(0.43065160512924194, 0.1300911009311676, 0.8269276022911072, 0.3373520076274872, 4, 0)
(0.4324862062931061, 0.1416170597076416, 0.8208351731300354, 0.3451523780822754, 4, 0)
(0.43382230401039124, 0.14766187965869904, 0.8163652420043945, 0.3514854311943054, 4, 0)
(0.43802449107170105, 0.14681598544120789, 0.8131890892982483, 0.3539819121360779, 4, 0)
(0.44061800837516785, 0.14777472615242004, 0.8101626038551331, 0.3572884202003479, 4, 0)
(0.4468262493610382, 0.14445018768310547, 0.8092613220214844, 0.35295456647872925, 4, 0)
(0.44135481119155884, 0.14896614849567413, 0.811427116394043, 0.3529890477657318, 4, 0)
(0.4390204846858978, 0.14841704070568085, 0.8140164017677307, 0.3501582443714142, 4, 0)
(0.4425170421600342, 0.1436091661453247, 0.8147879242897034, 0.34594231843948364, 4, 0)
(0.4416469633579254, 0.14247378706932068, 0.8102262616157532, 0.3580261468887329, 4, 0)
(0.44466307759284973, 0.13919572532176971, 0.805325448513031, 0.36653852462768555, 4, 0)
(0.44815632700920105, 0.13835391402244568, 0.7968328595161438, 0.3808826506137848, 4, 0)
(0.4491817057132721, 0.13364604115486145, 0.7872699499130249, 0.4007253348827362, 4, 0)
(0.4493235647678375, 0.13263723254203796, 0.7825979590415955, 0.4099467694759369, 4, 0)
(0.44898632168769836, 0.13197113573551178, 0.7772608399391174, 0.4205480217933655, 4, 0)
(0.4435492753982544, 0.1299840658903122, 0.7762650847434998, 0.42869672179222107, 4, 0)
(0.4369826912879944, 0.12839452922344208, 0.7759942412376404, 0.43634170293807983, 4, 0)
(0.43241289258003235, 0.1284644603729248, 0.7742167115211487, 0.44396457076072693, 4, 0)
(0.426179438829422, 0.12984544038772583, 0.7727911472320557, 0.4520013630390167, 4, 0)
(0.4205613136291504, 0.1330122947692871, 0.7725081443786621, 0.4568009674549103, 4, 0)
(0.4172040820121765, 0.1394800990819931, 0.7680049538612366, 0.4654616415500641, 4, 0)
(0.414619505405426, 0.14423884451389313, 0.7610290050506592, 0.4776199758052826, 4, 0)
(0.41447004675865173, 0.14642703533172607, 0.7521688938140869, 0.49093374609947205, 4, 0)
(0.41725683212280273, 0.15134760737419128, 0.7308071851730347, 0.518566906452179, 4, 0)
(0.4153681993484497, 0.1486278623342514, 0.715676486492157, 0.5414668321609497, 4, 0)
(0.41421473026275635, 0.14625997841358185, 0.7058685421943665, 0.5556831955909729, 4, 0)
(0.40481171011924744, 0.14194101095199585, 0.6831392645835876, 0.5910170674324036, 4, 0)
(0.4007931053638458, 0.1406911015510559, 0.6688616871833801, 0.6100779175758362, 4, 0)
(0.39929091930389404, 0.14113067090511322, 0.6513338685035706, 0.6296135783195496, 4, 0)
(0.39913272857666016, 0.1416683793067932, 0.6467064619064331, 0.634345531463623, 4, 0)
(0.3986854553222656, 0.14561377465724945, 0.6269644498825073, 0.6532703638076782, 4, 0)
(0.39803072810173035, 0.15200121700763702, 0.6075111627578735, 0.6703712344169617, 4, 0)
(0.39809462428092957, 0.15831194818019867, 0.5911225080490112, 0.6833975911140442, 4, 0)
(0.3986678421497345, 0.165655255317688, 0.5746265649795532, 0.6952888369560242, 4, 0)
(0.3996905982494354, 0.17141032218933105, 0.5640354752540588, 0.7019473314285278, 4, 0)
(0.4020938277244568, 0.1842561811208725, 0.542608380317688, 0.7141053676605225, 4, 0)
(0.4039720892906189, 0.1948600560426712, 0.5272811651229858, 0.7216722965240479, 4, 0)
(0.4028819501399994, 0.20347860455513, 0.5118499398231506, 0.7309530973434448, 4, 0)
(0.39904671907424927, 0.20384955406188965, 0.5071156024932861, 0.7362343072891235, 4, 0)
(0.3959519565105438, 0.20276665687561035, 0.49647054076194763, 0.745402455329895, 4, 0)
(0.39210718870162964, 0.1997663974761963, 0.49157586693763733, 0.751464307308197, 4, 0)
(0.3927890360355377, 0.19895407557487488, 0.48260191082954407, 0.7571192979812622, 4, 0)
(0.3926295042037964, 0.19920042157173157, 0.47914692759513855, 0.7593283653259277, 4, 0)
(0.39155957102775574, 0.19821077585220337, 0.4691550135612488, 0.7663466930389404, 4, 0)
(0.39022770524024963, 0.19900953769683838, 0.4563460648059845, 0.7745102047920227, 4, 0)
(0.3761337697505951, 0.2008657455444336, 0.434813916683197, 0.7931667566299438, 4, 0)
(0.3557969331741333, 0.20198893547058105, 0.4092565178871155, 0.8155478835105896, 4, 0)
(0.3490115702152252, 0.20266656577587128, 0.4018682539463043, 0.8219608068466187, 4, 0)
(0.32507961988449097, 0.20901501178741455, 0.37520694732666016, 0.8425293564796448, 4, 0)
(0.2918246388435364, 0.22929568588733673, 0.3319636583328247, 0.867215096950531, 4, 0)
(0.2732601463794708, 0.24243903160095215, 0.3032532334327698, 0.8801078200340271, 4, 0)
(0.25905144214630127, 0.2555117905139923, 0.2735839784145355, 0.8903696537017822, 4, 0)
(0.24138018488883972, 0.27558833360671997, 0.22398266196250916, 0.9031159281730652, 4, 0)
(0.21429258584976196, 0.30147597193717957, 0.1498204618692398, 0.9169215559959412, 4, 0)
(0.18087580800056458, 0.32288652658462524, 0.06755903363227844, 0.9265334606170654, 4, 0)
(0.1592811942100525, 0.33124175667762756, 0.023254312574863434, 0.9297139048576355, 4, 0)
(0.12335627526044846, 0.33884507417678833, -0.03834901750087738, 0.9319317936897278, 4, 0)
(0.07749591767787933, 0.34119975566864014, -0.10683435201644897, 0.9306792616844177, 4, 0)
(0.04718106612563133, 0.34017083048820496, -0.15438270568847656, 0.9264037609100342, 4, 0)
(0.01997583918273449, 0.33854058384895325, -0.20145773887634277, 0.9189157485961914, 4, 0)
(0.0038921311497688293, 0.3372269868850708, -0.23136106133460999, 0.9125431180000305, 4, 0)
