<YEI3Space WL:12000861>


           R,                   i,                  j,                    k,        %,  Button
(0.48484137654304504, -0.6999402642250061, -0.4386448562145233, -0.2874077260494232, 57, 0)
(0.5058939456939697, -0.6768802404403687, -0.4444082975387573, -0.2973318099975586, 57, 0)
(0.5298364162445068, -0.6469359397888184, -0.45297694206237793, -0.3091265857219696, 57, 0)
(0.5497889518737793, -0.6194738149642944, -0.4615183472633362, -0.31778186559677124, 57, 0)
(0.5623051524162292, -0.6016678214073181, -0.4676125943660736, -0.32116588950157166, 57, 0)
(0.5766205191612244, -0.5801212787628174, -0.47809019684791565, -0.3199971318244934, 57, 0)
(0.5827217102050781, -0.5700752139091492, -0.48507100343704224, -0.31647464632987976, 57, 0)
(0.5900284051895142, -0.5573408007621765, -0.4945344030857086, -0.3109237849712372, 57, 0)
(0.5975826978683472, -0.5435420274734497, -0.5042121410369873, -0.3053315281867981, 57, 0)
(0.6050844192504883, -0.5307191610336304, -0.5111281871795654, -0.3015928268432617, 57, 0)
(0.6167600750923157, -0.5118091106414795, -0.5190381407737732, -0.2970828711986542, 57, 0)
(0.6195598244667053, -0.5073182582855225, -0.520803689956665, -0.29586729407310486, 57, 0)
(0.632938027381897, -0.4861235022544861, -0.5301418900489807, -0.286396861076355, 57, 0)
(0.6374855041503906, -0.4784442186355591, -0.5343225598335266, -0.28143033385276794, 57, 0)
(0.6417247653007507, -0.4706103503704071, -0.5388325452804565, -0.27636009454727173, 57, 0)
(0.6488855481147766, -0.45545345544815063, -0.5480901598930359, -0.26665884256362915, 57, 0)
(0.6520436406135559, -0.448161780834198, -0.5528737306594849, -0.26138269901275635, 57, 0)
(0.6548757553100586, -0.44147253036499023, -0.5575813055038452, -0.2556229531764984, 57, 0)
(0.6595970988273621, -0.43019235134124756, -0.5662317276000977, -0.24340926110744476, 57, 0)
(0.662358283996582, -0.4227716624736786, -0.5724847912788391, -0.23410892486572266, 57, 0)
(0.6637145280838013, -0.41796693205833435, -0.5769398212432861, -0.22787585854530334, 57, 0)
(0.6658982634544373, -0.40884944796562195, -0.5855062007904053, -0.2158806324005127, 57, 0)
(0.6679902076721191, -0.40186452865600586, -0.591407835483551, -0.2062300443649292, 57, 0)
(0.6728480458259583, -0.38906973600387573, -0.5997211933135986, -0.19035464525222778, 57, 0)
(0.6792792081832886, -0.3759322464466095, -0.6068311333656311, -0.17032554745674133, 57, 0)
(0.6812157034873962, -0.3713236153125763, -0.6103359460830688, -0.15985649824142456, 57, 0)
(0.6828263998031616, -0.3667963147163391, -0.6136124134063721, -0.1506262719631195, 57, 0)
(0.6842989921569824, -0.35864928364753723, -0.6209962964057922, -0.1321718394756317, 57, 0)
(0.6857802271842957, -0.35596656799316406, -0.623942494392395, -0.11700113117694855, 57, 0)
(0.6877015829086304, -0.3573388159275055, -0.6244332790374756, -0.09725528955459595, 57, 0)
(0.687286913394928, -0.3580492436885834, -0.626514732837677, -0.08316734433174133, 57, 0)
(0.685465931892395, -0.35650449991226196, -0.6309481263160706, -0.07032594084739685, 57, 0)
(0.6841558218002319, -0.3543171286582947, -0.6344889402389526, -0.06175851821899414, 57, 0)
(0.6817070245742798, -0.3432658612728119, -0.6444845795631409, -0.04564860463142395, 57, 0)
(0.6814557909965515, -0.3384096622467041, -0.6477518081665039, -0.03891810402274132, 57, 0)
(0.6815434694290161, -0.3292006254196167, -0.6529929041862488, -0.02694491669535637, 57, 0)
(0.6810034513473511, -0.3207295835018158, -0.6580737829208374, -0.017488446086645126, 57, 0)
(0.6802847981452942, -0.31612223386764526, -0.6611323356628418, -0.013546578586101532, 57, 0)
(0.6793481707572937, -0.3110535740852356, -0.6645567417144775, -0.009810181334614754, 57, 0)
(0.6773014068603516, -0.3019569218158722, -0.6708775162696838, -0.0029072053730487823, 57, 0)
(0.6755450367927551, -0.29558369517326355, -0.6754745244979858, 0.0019058166071772575, 57, 0)
(0.6720603704452515, -0.28867340087890625, -0.6818451881408691, 0.009480779059231281, 57, 0)
(0.6668596267700195, -0.28304538130760193, -0.6890572905540466, 0.019591309130191803, 57, 0)
(0.6602450609207153, -0.27986395359039307, -0.6962094306945801, 0.03233103081583977, 57, 0)
(0.6562260985374451, -0.27969494462013245, -0.6996154189109802, 0.04094621166586876, 57, 0)
(0.6521459221839905, -0.2797321677207947, -0.70278400182724, 0.05050168186426163, 57, 0)
(0.6460172533988953, -0.28044599294662476, -0.7069820165634155, 0.06471744179725647, 57, 0)
(0.6390676498413086, -0.27905595302581787, -0.712511420249939, 0.07776840031147003, 57, 0)
(0.6338066458702087, -0.27879947423934937, -0.7163308262825012, 0.08620014786720276, 57, 0)
(0.6300892233848572, -0.2793686091899872, -0.7186350226402283, 0.09222140163183212, 57, 0)
(0.620731770992279, -0.2836565375328064, -0.7232069969177246, 0.10584366321563721, 57, 0)
